,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
571,990,6291916380a7faeca808d4cf8350fd69ea27ceebec686991dcf31e738aba7caa,SPA 2,"Yo vería los pájaros, las plantas, los flores, los animales, las personas de Hawaii, la playa, el mar, las pescados y casas muy interesante.","Yo vería los pájaros, las plantas, los flores, los animales, las personas de Hawaii, la playa, el mar, [las]{los}<ga:mf:det:inan> pescados y casas muy [interesante]{interesantes}<na:ps:adj:inan>.",2,[interesante]{interesantes}<na:ps:adj:inan>,1,na:ps:adj:inan,interesantes,interesante,"['Yo', 'vería', 'los', 'pájaros', ',', 'las', 'plantas', ',', 'los', 'flores', ',', 'los', 'animales', ',', 'las', 'personas', 'de', 'Hawaii', ',', 'la', 'playa', ',', 'el', 'mar', ',', 'los', 'pescados', 'y', 'casas', 'muy', 'interesantes', '.']","[30, 63]",na:ps,"['Yo', 'vería', 'los', 'pájaros', ',', 'las', 'plantas', ',', 'los', 'flores', ',', 'los', 'animales', ',', 'las', 'personas', 'de', 'Hawaii', ',', 'la', 'playa', ',', 'el', 'mar', ',', 'los', 'pescados', 'y', 'casas', 'muy', 'interesante', '.']",number agreement
574,995,6ebf0ddeaaf8c54d201a0211b907cfb545cb789b1877bcc39f84e1d6a29b13a5,SPA 3,Para un vacación quiero ir a Europa.,Para [un]{una}<ga:fm:det:inan> [vacación]{vacaciones}<in:s:noun:inan> quiero ir a Europa.,2,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Para', 'una', 'vacaciones', 'quiero', 'ir', 'a', 'Europa', '.']","[1, 10]",ga:fm,"['Para', 'un', 'vacaciones', 'quiero', 'ir', 'a', 'Europa', '.']",gender agreement
574,995,6ebf0ddeaaf8c54d201a0211b907cfb545cb789b1877bcc39f84e1d6a29b13a5,SPA 3,Para un vacación quiero ir a Europa.,Para [un]{una}<ga:fm:det:inan> [vacación]{vacaciones}<in:s:noun:inan> quiero ir a Europa.,2,[vacación]{vacaciones}<in:s:noun:inan>,1,in:s:noun:inan,vacaciones,vacación,"['Para', 'una', 'vacaciones', 'quiero', 'ir', 'a', 'Europa', '.']","[2, 11]",in:s,"['Para', 'una', 'vacación', 'quiero', 'ir', 'a', 'Europa', '.']",number agreement
574,995,2d341a56cfe39f2dd94f3d12b9ce7057cd4a79221a3c05754dc2dc1e7a95a1c4,SPA 3,Quiero ver la torre eiffel en la noche con todos los luces.,Quiero ver la torre eiffel en la noche con [todos]{todas}<ga:fm:det:inan> [los]{las}<ga:fm:det:inan> luces.,2,[todos]{todas}<ga:fm:det:inan>,0,ga:fm:det:inan,todas,todos,"['Quiero', 'ver', 'la', 'torre', 'eiffel', 'en', 'la', 'noche', 'con', 'todas', 'las', 'luces', '.']","[9, 23]",ga:fm,"['Quiero', 'ver', 'la', 'torre', 'eiffel', 'en', 'la', 'noche', 'con', 'todos', 'las', 'luces', '.']",gender agreement
574,995,2d341a56cfe39f2dd94f3d12b9ce7057cd4a79221a3c05754dc2dc1e7a95a1c4,SPA 3,Quiero ver la torre eiffel en la noche con todos los luces.,Quiero ver la torre eiffel en la noche con [todos]{todas}<ga:fm:det:inan> [los]{las}<ga:fm:det:inan> luces.,2,[los]{las}<ga:fm:det:inan>,1,ga:fm:det:inan,las,los,"['Quiero', 'ver', 'la', 'torre', 'eiffel', 'en', 'la', 'noche', 'con', 'todas', 'las', 'luces', '.']","[10, 24]",ga:fm,"['Quiero', 'ver', 'la', 'torre', 'eiffel', 'en', 'la', 'noche', 'con', 'todas', 'los', 'luces', '.']",gender agreement
574,995,8f6c1c2bbbfbc6e9170ce09435d7a92bb3ae90f43abe42af7185362a8a892878,SPA 3,Es muy bonita en Nuevo Zelandia con todo el verde.,Es muy [bonita]{bonito}<ga:mf:adj:inan> en [Nuevo]{nueva}<ga:fm:adj:inan> Zelandia con todo el verde.,2,[bonita]{bonito}<ga:mf:adj:inan>,0,ga:mf:adj:inan,bonito,bonita,"['Es', 'muy', 'bonito', 'en', 'nueva', 'Zelandia', 'con', 'todo', 'el', 'verde', '.']","[2, 14]",ga:mf,"['Es', 'muy', 'bonita', 'en', 'nueva', 'Zelandia', 'con', 'todo', 'el', 'verde', '.']",gender agreement
574,995,8f6c1c2bbbfbc6e9170ce09435d7a92bb3ae90f43abe42af7185362a8a892878,SPA 3,Es muy bonita en Nuevo Zelandia con todo el verde.,Es muy [bonita]{bonito}<ga:mf:adj:inan> en [Nuevo]{nueva}<ga:fm:adj:inan> Zelandia con todo el verde.,2,[Nuevo]{nueva}<ga:fm:adj:inan>,1,ga:fm:adj:inan,nueva,Nuevo,"['Es', 'muy', 'bonito', 'en', 'nueva', 'Zelandia', 'con', 'todo', 'el', 'verde', '.']","[4, 16]",ga:fm,"['Es', 'muy', 'bonito', 'en', 'Nuevo', 'Zelandia', 'con', 'todo', 'el', 'verde', '.']",gender agreement
574,995,16858a86062ba68dad0f2552b4335f214400deab795f3e03cad9515855d53b22,SPA 3,Pienso que es muy bonita para midar eso y muchos plantas y árboles bonitas en Japón.,Pienso que es muy [bonita]{bonito}<ga:mf:adj:inan> para midar eso y [muchos]{muchas}<ga:fm:det:inan> plantas y árboles [bonitas]{bonitos}<ga:mf:adj:inan> en Japón.,3,[bonita]{bonito}<ga:mf:adj:inan>,0,ga:mf:adj:inan,bonito,bonita,"['Pienso', 'que', 'es', 'muy', 'bonito', 'para', 'midar', 'eso', 'y', 'muchas', 'plantas', 'y', 'árboles', 'bonitos', 'en', 'Japón', '.']","[4, 22]",ga:mf,"['Pienso', 'que', 'es', 'muy', 'bonita', 'para', 'midar', 'eso', 'y', 'muchas', 'plantas', 'y', 'árboles', 'bonitos', 'en', 'Japón', '.']",gender agreement
574,995,16858a86062ba68dad0f2552b4335f214400deab795f3e03cad9515855d53b22,SPA 3,Pienso que es muy bonita para midar eso y muchos plantas y árboles bonitas en Japón.,Pienso que es muy [bonita]{bonito}<ga:mf:adj:inan> para midar eso y [muchos]{muchas}<ga:fm:det:inan> plantas y árboles [bonitas]{bonitos}<ga:mf:adj:inan> en Japón.,3,[muchos]{muchas}<ga:fm:det:inan>,1,ga:fm:det:inan,muchas,muchos,"['Pienso', 'que', 'es', 'muy', 'bonito', 'para', 'midar', 'eso', 'y', 'muchas', 'plantas', 'y', 'árboles', 'bonitos', 'en', 'Japón', '.']","[9, 27]",ga:fm,"['Pienso', 'que', 'es', 'muy', 'bonito', 'para', 'midar', 'eso', 'y', 'muchos', 'plantas', 'y', 'árboles', 'bonitos', 'en', 'Japón', '.']",gender agreement
574,995,16858a86062ba68dad0f2552b4335f214400deab795f3e03cad9515855d53b22,SPA 3,Pienso que es muy bonita para midar eso y muchos plantas y árboles bonitas en Japón.,Pienso que es muy [bonita]{bonito}<ga:mf:adj:inan> para midar eso y [muchos]{muchas}<ga:fm:det:inan> plantas y árboles [bonitas]{bonitos}<ga:mf:adj:inan> en Japón.,3,[bonitas]{bonitos}<ga:mf:adj:inan>,2,ga:mf:adj:inan,bonitos,bonitas,"['Pienso', 'que', 'es', 'muy', 'bonito', 'para', 'midar', 'eso', 'y', 'muchas', 'plantas', 'y', 'árboles', 'bonitos', 'en', 'Japón', '.']","[13, 31]",ga:mf,"['Pienso', 'que', 'es', 'muy', 'bonito', 'para', 'midar', 'eso', 'y', 'muchas', 'plantas', 'y', 'árboles', 'bonitas', 'en', 'Japón', '.']",gender agreement
580,1001,127ff6f88b18c86586bdded1be18d7b7413f38735fa2df4c76f4b1a46bb83327,SPA 1,Mi perfecto vacaciones es seria viajar por el mundo y visitar varios países.,[Mi]{mis}<na:ps:det:inan> [perfecto]{perfectas}<ga:na:fm:ps:adj:inan> vacaciones es seria viajar por el mundo y visitar varios países.,2,[Mi]{mis}<na:ps:det:inan>,0,na:ps:det:inan,mis,Mi,"['mis', 'perfectas', 'vacaciones', 'es', 'seria', 'viajar', 'por', 'el', 'mundo', 'y', 'visitar', 'varios', 'países', '.']","[0, 15]",na:ps,"['Mi', 'perfectas', 'vacaciones', 'es', 'seria', 'viajar', 'por', 'el', 'mundo', 'y', 'visitar', 'varios', 'países', '.']",number agreement
580,1001,127ff6f88b18c86586bdded1be18d7b7413f38735fa2df4c76f4b1a46bb83327,SPA 1,Mi perfecto vacaciones es seria viajar por el mundo y visitar varios países.,[Mi]{mis}<na:ps:det:inan> [perfecto]{perfectas}<ga:na:fm:ps:adj:inan> vacaciones es seria viajar por el mundo y visitar varios países.,2,[perfecto]{perfectas}<ga:na:fm:ps:adj:inan>,1,ga:na:fm:ps:adj:inan,perfectas,perfecto,"['mis', 'perfectas', 'vacaciones', 'es', 'seria', 'viajar', 'por', 'el', 'mundo', 'y', 'visitar', 'varios', 'países', '.']","[1, 16]",ga:na:fm:ps,"['mis', 'perfecto', 'vacaciones', 'es', 'seria', 'viajar', 'por', 'el', 'mundo', 'y', 'visitar', 'varios', 'países', '.']",gender and number agreement
582,1003,f76def6a5e33301e4954d6b505f9d94bd2771dc77a8057528314b5f65e598fb5,SPA 3,Todo el comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado fresca y aguacate con frutas tropical.,[Todo]{toda}<ga:fm:det:inan> [el]{la}<ga:fm:det:inan> comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado [fresca]{fresco}<ga:mf:adj:inan> y aguacate con frutas [tropical]{tropicales}<na:ps:adj:inan>.,4,[Todo]{toda}<ga:fm:det:inan>,0,ga:fm:det:inan,toda,Todo,"['toda', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']","[0, 24]",ga:fm,"['Todo', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']",gender agreement
582,1003,f76def6a5e33301e4954d6b505f9d94bd2771dc77a8057528314b5f65e598fb5,SPA 3,Todo el comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado fresca y aguacate con frutas tropical.,[Todo]{toda}<ga:fm:det:inan> [el]{la}<ga:fm:det:inan> comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado [fresca]{fresco}<ga:mf:adj:inan> y aguacate con frutas [tropical]{tropicales}<na:ps:adj:inan>.,4,[el]{la}<ga:fm:det:inan>,1,ga:fm:det:inan,la,el,"['toda', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']","[1, 25]",ga:fm,"['toda', 'el', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']",gender agreement
582,1003,f76def6a5e33301e4954d6b505f9d94bd2771dc77a8057528314b5f65e598fb5,SPA 3,Todo el comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado fresca y aguacate con frutas tropical.,[Todo]{toda}<ga:fm:det:inan> [el]{la}<ga:fm:det:inan> comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado [fresca]{fresco}<ga:mf:adj:inan> y aguacate con frutas [tropical]{tropicales}<na:ps:adj:inan>.,4,[fresca]{fresco}<ga:mf:adj:inan>,2,ga:mf:adj:inan,fresco,fresca,"['toda', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']","[16, 40]",ga:mf,"['toda', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresca', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']",gender agreement
582,1003,f76def6a5e33301e4954d6b505f9d94bd2771dc77a8057528314b5f65e598fb5,SPA 3,Todo el comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado fresca y aguacate con frutas tropical.,[Todo]{toda}<ga:fm:det:inan> [el]{la}<ga:fm:det:inan> comida estará lista para comer todo el tiempo y todos los restaurantes sirviera pescado [fresca]{fresco}<ga:mf:adj:inan> y aguacate con frutas [tropical]{tropicales}<na:ps:adj:inan>.,4,[tropical]{tropicales}<na:ps:adj:inan>,3,na:ps:adj:inan,tropicales,tropical,"['toda', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropicales', '.']","[21, 45]",na:ps,"['toda', 'la', 'comida', 'estará', 'lista', 'para', 'comer', 'todo', 'el', 'tiempo', 'y', 'todos', 'los', 'restaurantes', 'sirviera', 'pescado', 'fresco', 'y', 'aguacate', 'con', 'frutas', 'tropical', '.']",number agreement
583,1005,426a721b131851d1c007160bb48115cb8a078f946acc55511d5a54daa205e960,SPA 3,"El vacación perfecto es un viaje a Honolulu, un ciudad en Hawái.","[El]{la}<ga:fm:det:inan> [vacación]{vacaciones}<in:s:gat:noun:inan> [perfecto]{perfecta}<ga:fm:adj:inan> es un viaje a Honolulu, [un]{una}<ga:fm:det:inan> ciudad en Hawái.",4,[El]{la}<ga:fm:det:inan>,0,ga:fm:det:inan,la,El,"['la', 'vacaciones', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']","[0, 15]",ga:fm,"['El', 'vacaciones', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']",gender agreement
583,1005,426a721b131851d1c007160bb48115cb8a078f946acc55511d5a54daa205e960,SPA 3,"El vacación perfecto es un viaje a Honolulu, un ciudad en Hawái.","[El]{la}<ga:fm:det:inan> [vacación]{vacaciones}<in:s:gat:noun:inan> [perfecto]{perfecta}<ga:fm:adj:inan> es un viaje a Honolulu, [un]{una}<ga:fm:det:inan> ciudad en Hawái.",4,[vacación]{vacaciones}<in:s:gat:noun:inan>,1,in:s:gat:noun:inan,vacaciones,vacación,"['la', 'vacaciones', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']","[1, 16]",in:s:gat:noun,"['la', 'vacación', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']",number agreement
583,1005,426a721b131851d1c007160bb48115cb8a078f946acc55511d5a54daa205e960,SPA 3,"El vacación perfecto es un viaje a Honolulu, un ciudad en Hawái.","[El]{la}<ga:fm:det:inan> [vacación]{vacaciones}<in:s:gat:noun:inan> [perfecto]{perfecta}<ga:fm:adj:inan> es un viaje a Honolulu, [un]{una}<ga:fm:det:inan> ciudad en Hawái.",4,[perfecto]{perfecta}<ga:fm:adj:inan>,2,ga:fm:adj:inan,perfecta,perfecto,"['la', 'vacaciones', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']","[2, 17]",ga:fm,"['la', 'vacaciones', 'perfecto', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']",gender agreement
583,1005,426a721b131851d1c007160bb48115cb8a078f946acc55511d5a54daa205e960,SPA 3,"El vacación perfecto es un viaje a Honolulu, un ciudad en Hawái.","[El]{la}<ga:fm:det:inan> [vacación]{vacaciones}<in:s:gat:noun:inan> [perfecto]{perfecta}<ga:fm:adj:inan> es un viaje a Honolulu, [un]{una}<ga:fm:det:inan> ciudad en Hawái.",4,[un]{una}<ga:fm:det:inan>,3,ga:fm:det:inan,una,un,"['la', 'vacaciones', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'una', 'ciudad', 'en', 'Hawái', '.']","[9, 24]",ga:fm,"['la', 'vacaciones', 'perfecta', 'es', 'un', 'viaje', 'a', 'Honolulu', ',', 'un', 'ciudad', 'en', 'Hawái', '.']",gender agreement
583,1005,a3c5eee36c0aa403bbf43de6dadecedcefbc9ed747a6138f7d7f878954331106,SPA 3,"

Por la próxima cuatro días, vamos a pasar tiempo en la playa.","Por [la]{los}<ga:na:mf:ps:det:aty:inan> [próxima]{próximos}<ga:na:mf:ps:det:aty:inan> cuatro días, vamos a pasar tiempo en la playa.",2,[la]{los}<ga:na:mf:ps:det:aty:inan>,0,ga:na:mf:ps:det:aty:inan,los,la,"['Por', 'los', 'próximos', 'cuatro', 'días', ',', 'vamos', 'a', 'pasar', 'tiempo', 'en', 'la', 'playa', '.']","[1, 16]",ga:na:mf:ps,"['Por', 'la', 'próximos', 'cuatro', 'días', ',', 'vamos', 'a', 'pasar', 'tiempo', 'en', 'la', 'playa', '.']",gender and number agreement
583,1005,a3c5eee36c0aa403bbf43de6dadecedcefbc9ed747a6138f7d7f878954331106,SPA 3,"

Por la próxima cuatro días, vamos a pasar tiempo en la playa.","Por [la]{los}<ga:na:mf:ps:det:aty:inan> [próxima]{próximos}<ga:na:mf:ps:det:aty:inan> cuatro días, vamos a pasar tiempo en la playa.",2,[próxima]{próximos}<ga:na:mf:ps:det:aty:inan>,1,ga:na:mf:ps:det:aty:inan,próximos,próxima,"['Por', 'los', 'próximos', 'cuatro', 'días', ',', 'vamos', 'a', 'pasar', 'tiempo', 'en', 'la', 'playa', '.']","[2, 17]",ga:na:mf:ps,"['Por', 'los', 'próxima', 'cuatro', 'días', ',', 'vamos', 'a', 'pasar', 'tiempo', 'en', 'la', 'playa', '.']",gender and number agreement
584,1006,9577654425dc5d65b23fc26b4c4c24627e4f8cace858777c516ed10ffe249d8d,SPA 3,Me gustaria el cultura y los personas en Europa.,Me gustaria [el]{la}<ga:fm:det:inan> cultura y [los]{las}<ga:fm:det:an> personas en Europa.,2,[el]{la}<ga:fm:det:inan>,0,ga:fm:det:inan,la,el,"['Me', 'gustaria', 'la', 'cultura', 'y', 'las', 'personas', 'en', 'Europa', '.']","[2, 13]",ga:fm,"['Me', 'gustaria', 'el', 'cultura', 'y', 'las', 'personas', 'en', 'Europa', '.']",gender agreement
584,1006,9577654425dc5d65b23fc26b4c4c24627e4f8cace858777c516ed10ffe249d8d,SPA 3,Me gustaria el cultura y los personas en Europa.,Me gustaria [el]{la}<ga:fm:det:inan> cultura y [los]{las}<ga:fm:det:an> personas en Europa.,2,[los]{las}<ga:fm:det:an>,1,ga:fm:det:an,las,los,"['Me', 'gustaria', 'la', 'cultura', 'y', 'las', 'personas', 'en', 'Europa', '.']","[5, 16]",ga:fm,"['Me', 'gustaria', 'la', 'cultura', 'y', 'los', 'personas', 'en', 'Europa', '.']",gender agreement
584,1006,c4158c0a3459451c7815aa38bf33b3dbe1c9784ba09ef04cc57b23bbfc6751c9,SPA 3,Yo quiero ella ser el guia turistico de mi.,Yo quiero ella ser [el]{la}<ga:fm:det:an> guia [turistico]{turística}<ga:fm:adj:an> de mi.,2,[el]{la}<ga:fm:det:an>,0,ga:fm:det:an,la,el,"['Yo', 'quiero', 'ella', 'ser', 'la', 'guia', 'turística', 'de', 'mi', '.']","[4, 15]",ga:fm,"['Yo', 'quiero', 'ella', 'ser', 'el', 'guia', 'turística', 'de', 'mi', '.']",gender agreement
584,1006,c4158c0a3459451c7815aa38bf33b3dbe1c9784ba09ef04cc57b23bbfc6751c9,SPA 3,Yo quiero ella ser el guia turistico de mi.,Yo quiero ella ser [el]{la}<ga:fm:det:an> guia [turistico]{turística}<ga:fm:adj:an> de mi.,2,[turistico]{turística}<ga:fm:adj:an>,1,ga:fm:adj:an,turística,turistico,"['Yo', 'quiero', 'ella', 'ser', 'la', 'guia', 'turística', 'de', 'mi', '.']","[6, 17]",ga:fm,"['Yo', 'quiero', 'ella', 'ser', 'la', 'guia', 'turistico', 'de', 'mi', '.']",gender agreement
586,1011,30a24dc463685f2a7a2bf894df940b35fc8dfbcc3a4c3e487dd4a56c71dfdb46,SPA 3,Mi perfecto vacaciones seria en Hawaii.,[Mi]{mis}<na:ps:det:inan> [perfecto]{perfectas}<ga:na:fm:ps:adj:inan> vacaciones seria en Hawaii.,2,[Mi]{mis}<na:ps:det:inan>,0,na:ps:det:inan,mis,Mi,"['mis', 'perfectas', 'vacaciones', 'seria', 'en', 'Hawaii', '.']","[0, 8]",na:ps,"['Mi', 'perfectas', 'vacaciones', 'seria', 'en', 'Hawaii', '.']",number agreement
586,1011,30a24dc463685f2a7a2bf894df940b35fc8dfbcc3a4c3e487dd4a56c71dfdb46,SPA 3,Mi perfecto vacaciones seria en Hawaii.,[Mi]{mis}<na:ps:det:inan> [perfecto]{perfectas}<ga:na:fm:ps:adj:inan> vacaciones seria en Hawaii.,2,[perfecto]{perfectas}<ga:na:fm:ps:adj:inan>,1,ga:na:fm:ps:adj:inan,perfectas,perfecto,"['mis', 'perfectas', 'vacaciones', 'seria', 'en', 'Hawaii', '.']","[1, 9]",ga:na:fm:ps,"['mis', 'perfecto', 'vacaciones', 'seria', 'en', 'Hawaii', '.']",gender and number agreement
