,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
261,373,cd55d3811124a34472e3adfd2aec42c604d5a5184fa29eed49b14c31c62e1836,SPA 2,"Carli está muy bien decorada, pero ella sigue siendo humilde y trabaja duro para convertirse en un mejor jugador de fútbol.","Carli está muy bien decorada, pero ella sigue siendo humilde y trabaja duro para convertirse en un mejor [jugador]{jugadora}<ga:fm:noun:an> de fútbol.",1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Carli', 'está', 'muy', 'bien', 'decorada', ',', 'pero', 'ella', 'sigue', 'siendo', 'humilde', 'y', 'trabaja', 'duro', 'para', 'convertirse', 'en', 'un', 'mejor', 'jugadora', 'de', 'fútbol', '.']","[19, 43]",ga:fm,"['Carli', 'está', 'muy', 'bien', 'decorada', ',', 'pero', 'ella', 'sigue', 'siendo', 'humilde', 'y', 'trabaja', 'duro', 'para', 'convertirse', 'en', 'un', 'mejor', 'jugador', 'de', 'fútbol', '.']",gender agreement
261,373,fdf3a2fe8625372e05348609da127d41bb6581ef0f142faf9b09a3b398bf6cb6,SPA 2,"Ella es un jugador talentoso, pero debido a lo duro que trabaja, se ha convertido en grande.","Ella es un [jugador]{jugadora}<ga:fm:noun:an>  talentoso, pero debido a lo duro que trabaja, se ha convertido en grande.",1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Ella', 'es', 'un', 'jugadora', 'talentoso', ',', 'pero', 'debido', 'a', 'lo', 'duro', 'que', 'trabaja', ',', 'se', 'ha', 'convertido', 'en', 'grande', '.']","[3, 24]",ga:fm,"['Ella', 'es', 'un', 'jugador', 'talentoso', ',', 'pero', 'debido', 'a', 'lo', 'duro', 'que', 'trabaja', ',', 'se', 'ha', 'convertido', 'en', 'grande', '.']",gender agreement
261,373,c7dd37797f433e990f1ccfcb36a59d0487dd5c791d71811c144e8dd932410433,SPA 2,Ella era muy competitiva y se convirtió en un jugador duro jugando con los niños.,Ella era muy competitiva y se convirtió en un [jugador]{jugadora}<ga:fm:noun:an>  duro jugando con los niños.,1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Ella', 'era', 'muy', 'competitiva', 'y', 'se', 'convirtió', 'en', 'un', 'jugadora', 'duro', 'jugando', 'con', 'los', 'niños', '.']","[9, 26]",ga:fm,"['Ella', 'era', 'muy', 'competitiva', 'y', 'se', 'convirtió', 'en', 'un', 'jugador', 'duro', 'jugando', 'con', 'los', 'niños', '.']",gender agreement
262,374,b208d6b67b6a113da993de862f4eeb41da0d89138222e3f746727e884e2432e9,SPA 1,Ella tiene muchos canciones.,Ella tiene [muchos]{muchas}<ga:fm:det:inan> canciones.,1,[muchos]{muchas}<ga:fm:det:inan>,0,ga:fm:det:inan,muchas,muchos,"['Ella', 'tiene', 'muchas', 'canciones', '.']","[2, 8]",ga:fm,"['Ella', 'tiene', 'muchos', 'canciones', '.']",gender agreement
262,374,09ab2c6befe58757391067aac280d0879e9d7baae366e1e70d6c09eab9c2aacb,SPA 1,Ella tiene un boca y dos ojos.,Ella tiene [un]{una}<ga:fm:det:inan> boca y dos ojos.,1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Ella', 'tiene', 'una', 'boca', 'y', 'dos', 'ojos', '.']","[2, 11]",ga:fm,"['Ella', 'tiene', 'un', 'boca', 'y', 'dos', 'ojos', '.']",gender agreement
262,374,4c6b42e9ffe32587026df1ef0fed2031ae1ed6db5e80ae4751276d2e2e0e1239,SPA 1,Ella tiene una estomago.,Ella tiene [una]{un}<ga:mf:det:inan> estomago.,1,[una]{un}<ga:mf:det:inan>,0,ga:mf:det:inan,un,una,"['Ella', 'tiene', 'un', 'estomago', '.']","[2, 8]",ga:mf,"['Ella', 'tiene', 'una', 'estomago', '.']",gender agreement
262,374,3f50cab4c83c9645df4d05e1df5f552af0de255b817d1069d2ce87eb25f4e0de,SPA 1,Ella tiene un cara.,Ella tiene [un]{una}<ga:fm:det:inan> cara.,1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Ella', 'tiene', 'una', 'cara', '.']","[2, 8]",ga:fm,"['Ella', 'tiene', 'un', 'cara', '.']",gender agreement
262,374,b8b94f36cb81198012454d97cc1c3c0d95786edc8a41dff1d8a035e277925606,SPA 1,Ella no es feo.,Ella no es [feo]{fea}<ga:fm:adj:an>.,1,[feo]{fea}<ga:fm:adj:an>,0,ga:fm:adj:an,fea,feo,"['Ella', 'no', 'es', 'fea', '.']","[3, 9]",ga:fm,"['Ella', 'no', 'es', 'feo', '.']",gender agreement
262,374,1bd508105203b5e62c9266e16b8c5b2a5bbc515823cfe7602202b41d56d24fcf,SPA 1,Ella no es malo.,Ella no es [malo]{mala}<ga:fm:adj:an>.,1,[malo]{mala}<ga:fm:adj:an>,0,ga:fm:adj:an,mala,malo,"['Ella', 'no', 'es', 'mala', '.']","[3, 9]",ga:fm,"['Ella', 'no', 'es', 'malo', '.']",gender agreement
262,374,c36a647ea7f5c4bc66e319c0fc92cd585877752e362a66c62dde360e2421a5d1,SPA 1,Ella le gusta muchos actrices.,Ella le gusta [muchos]{muchas}<ga:fm:det:an> actrices.,1,[muchos]{muchas}<ga:fm:det:an>,0,ga:fm:det:an,muchas,muchos,"['Ella', 'le', 'gusta', 'muchas', 'actrices', '.']","[3, 10]",ga:fm,"['Ella', 'le', 'gusta', 'muchos', 'actrices', '.']",gender agreement
263,375,794cbe4978d2dad84a6090873f34d6d1eb328b1eb34b527e7e4e353e722968a9,SPA 3,"Pero, Yo quiero hablar una persona famoso.","Pero, Yo quiero hablar una persona [famoso]{famosa}<ga:fm:adj:an>.",1,[famoso]{famosa}<ga:fm:adj:an>,0,ga:fm:adj:an,famosa,famoso,"['Pero', ',', 'Yo', 'quiero', 'hablar', 'una', 'persona', 'famosa', '.']","[7, 17]",ga:fm,"['Pero', ',', 'Yo', 'quiero', 'hablar', 'una', 'persona', 'famoso', '.']",gender agreement
263,375,f29ce6ab5664ba11ddce9fe902c133773d2794cb1b1f9c4d8169ea32a1461859,SPA 3,Yo estoy curioso porque yo quiero conozco que ellos hacer con tus dia.,Yo estoy curioso porque yo quiero conozco que ellos hacer con [tus]{tu}<na:sp:det:inan> dia.,1,[tus]{tu}<na:sp:det:inan>,0,na:sp:det:inan,tu,tus,"['Yo', 'estoy', 'curioso', 'porque', 'yo', 'quiero', 'conozco', 'que', 'ellos', 'hacer', 'con', 'tu', 'dia', '.']","[11, 26]",na:sp,"['Yo', 'estoy', 'curioso', 'porque', 'yo', 'quiero', 'conozco', 'que', 'ellos', 'hacer', 'con', 'tus', 'dia', '.']",number agreement
263,375,dc817c15757d73ff8e513c7c2027baac13d49cdd1984f5737f556535ffa0b935,SPA 3,"Durante el tiempo, el era el governor de California, y el era visiter algunos ciudades en California.","Durante el tiempo, el era el governor de California, y el era visiter [algunos]{algunas}<ga:fm:det:inan> ciudades en California.",1,[algunos]{algunas}<ga:fm:det:inan>,0,ga:fm:det:inan,algunas,algunos,"['Durante', 'el', 'tiempo', ',', 'el', 'era', 'el', 'governor', 'de', 'California', ',', 'y', 'el', 'era', 'visiter', 'algunas', 'ciudades', 'en', 'California', '.']","[15, 36]",ga:fm,"['Durante', 'el', 'tiempo', ',', 'el', 'era', 'el', 'governor', 'de', 'California', ',', 'y', 'el', 'era', 'visiter', 'algunos', 'ciudades', 'en', 'California', '.']",gender agreement
263,375,5c8e587d4b3ca0e3f5c7bba5b064e9428b4e0e179200810bce29678df026540b,SPA 3,"

No soy famosa, y no se alguno quien es famosa."," No soy famosa, y no se alguno quien es [famosa]{famoso}<ga:mf:adj:an>.",1,[famosa]{famoso}<ga:mf:adj:an>,0,ga:mf:adj:an,famoso,famosa,"['No', 'soy', 'famosa', ',', 'y', 'no', 'se', 'alguno', 'quien', 'es', 'famoso', '.']","[10, 23]",ga:mf,"['No', 'soy', 'famosa', ',', 'y', 'no', 'se', 'alguno', 'quien', 'es', 'famosa', '.']",gender agreement
263,375,b8f28b9cd0a65ed36ed010e452eac27c9a036d67acb3dd1821808a3afaee6973,SPA 3,"No quiero ser famosa, porque yo no tengo privacidad, y la gente es crítico para mi.","No quiero ser famosa, porque yo no tengo privacidad, y la gente es [crítico]{crítica}<ga:fm:adj:an> para mi.",1,[crítico]{crítica}<ga:fm:adj:an>,0,ga:fm:adj:an,crítica,crítico,"['No', 'quiero', 'ser', 'famosa', ',', 'porque', 'yo', 'no', 'tengo', 'privacidad', ',', 'y', 'la', 'gente', 'es', 'crítica', 'para', 'mi', '.']","[15, 35]",ga:fm,"['No', 'quiero', 'ser', 'famosa', ',', 'porque', 'yo', 'no', 'tengo', 'privacidad', ',', 'y', 'la', 'gente', 'es', 'crítico', 'para', 'mi', '.']",gender agreement
263,375,1f7794c3ba86e4e43f2d8dbd45be8ad1e28e8f3b5f9d4162b780edc2a43dce8c,SPA 3,"Pero, si yo hacerse famosa, I quiero ser contento.","Pero, si yo hacerse famosa, I quiero ser [contento]{contenta}<ga:fm:adj:an>.",1,[contento]{contenta}<ga:fm:adj:an>,0,ga:fm:adj:an,contenta,contento,"['Pero', ',', 'si', 'yo', 'hacerse', 'famosa', ',', 'I', 'quiero', 'ser', 'contenta', '.']","[10, 23]",ga:fm,"['Pero', ',', 'si', 'yo', 'hacerse', 'famosa', ',', 'I', 'quiero', 'ser', 'contento', '.']",gender agreement
264,376,9ad6f7ddb13a1753d216fced8dc84751e9425d3b571e5d3d0c0d877700f22a3c,SPA 2,Ellas hacen música juntos.,Ellas hacen música [juntos]{juntas}<ga:fm:adj:an>.,1,[juntos]{juntas}<ga:fm:adj:an>,0,ga:fm:adj:an,juntas,juntos,"['Ellas', 'hacen', 'música', 'juntas', '.']","[3, 9]",ga:fm,"['Ellas', 'hacen', 'música', 'juntos', '.']",gender agreement
264,376,a6722fc62237ba81226c9b12609fc9cfe32a17a6e52e1d8f551288845e7bb884,SPA 2,Ella también es  actor.,Ella también es  [actor]{actriz}<ga:fm:noun:an>.,1,[actor]{actriz}<ga:fm:noun:an>,0,ga:fm:noun:an,actriz,actor,"['Ella', 'también', 'es', 'actriz', '.']","[3, 9]",ga:fm,"['Ella', 'también', 'es', 'actor', '.']",gender agreement
266,379,2f5c09a7c735a2e70600723f06a8db797d33e90621e2a96eb900012dcf8e27e3,SPA 1,El grupo canta música rock y hay cuatro miembros japonés.,El grupo canta música rock y hay cuatro miembros [japonés]{japoneses}<na:ps:adj:an>.,1,[japonés]{japoneses}<na:ps:adj:an>,0,na:ps:adj:an,japoneses,japonés,"['El', 'grupo', 'canta', 'música', 'rock', 'y', 'hay', 'cuatro', 'miembros', 'japoneses', '.']","[9, 21]",na:ps,"['El', 'grupo', 'canta', 'música', 'rock', 'y', 'hay', 'cuatro', 'miembros', 'japonés', '.']",number agreement
266,379,d4dcaf396bc1054b732cd538929bfec5d6d9c2fe79ef1345b77ff0bae83c85b0,SPA 1,Sus álbum nuevo se llama Ambitions.,[Sus]{su}<na:sp:det:inan> álbum nuevo se llama Ambitions.,1,[Sus]{su}<na:sp:det:inan>,0,na:sp:det:inan,su,Sus,"['su', 'álbum', 'nuevo', 'se', 'llama', 'Ambitions', '.']","[0, 8]",na:sp,"['Sus', 'álbum', 'nuevo', 'se', 'llama', 'Ambitions', '.']",number agreement
266,379,5e78418832c257711f3249ce2283c25be31dcddc8c1bc385ac2c42b5829695df,SPA 1,Es sus octavo álbum y el género es el pop y rock.,Es [sus]{su}<na:sp:det:inan> octavo álbum y el género es el pop y rock.,1,[sus]{su}<na:sp:det:inan>,0,na:sp:det:inan,su,sus,"['Es', 'su', 'octavo', 'álbum', 'y', 'el', 'género', 'es', 'el', 'pop', 'y', 'rock', '.']","[1, 15]",na:sp,"['Es', 'sus', 'octavo', 'álbum', 'y', 'el', 'género', 'es', 'el', 'pop', 'y', 'rock', '.']",number agreement
266,379,81a942adddb25c0bc1a492db5e37db902c6728c4ec9b18c38538e7f564adbb80,SPA 1,"El tres temas de álbum son ambición, esperanza y cantar juntos.","[El]{Los}<na:ps:det:inan> tres temas de álbum son ambición, esperanza y cantar juntos.",1,[El]{Los}<na:ps:det:inan>,0,na:ps:det:inan,Los,El,"['Los', 'tres', 'temas', 'de', 'álbum', 'son', 'ambición', ',', 'esperanza', 'y', 'cantar', 'juntos', '.']","[0, 14]",na:ps,"['El', 'tres', 'temas', 'de', 'álbum', 'son', 'ambición', ',', 'esperanza', 'y', 'cantar', 'juntos', '.']",number agreement
266,379,2a3672ae44fb929992bc6b1f350f03318c05446a1aaf1b5a22771517cde9fa12,SPA 1,Sus álbum color es amarillo.,[Sus]{su}<na:sp:det:inan> álbum color es amarillo.,1,[Sus]{su}<na:sp:det:inan>,0,na:sp:det:inan,su,Sus,"['su', 'álbum', 'color', 'es', 'amarillo', '.']","[0, 7]",na:sp,"['Sus', 'álbum', 'color', 'es', 'amarillo', '.']",number agreement
267,380,291b711c5ffd26c312cc714364c4a32b6b6b2ac8fba978124fc119ca65fbc69e,SPA 3,Beyonce es muy talentoso.,Beyonce es muy [talentoso]{talentosa}<ga:fm:adj:an>.,1,[talentoso]{talentosa}<ga:fm:adj:an>,0,ga:fm:adj:an,talentosa,talentoso,"['Beyonce', 'es', 'muy', 'talentosa', '.']","[3, 9]",ga:fm,"['Beyonce', 'es', 'muy', 'talentoso', '.']",gender agreement
267,380,ffc60611c23971dee152768f2659a7f601ba759d77f4c8bc99fbf38fbca81284,SPA 3,"Ella es una cantante, bailarina, actor, madre y esposa de Jay Z. La hija de Beyonce se llama Blue Ivy.","Ella es una cantante, bailarina, [actor]{actriz}<ga:fm:noun:an>, madre y esposa de Jay Z. La hija de Beyonce se llama Blue Ivy.",1,[actor]{actriz}<ga:fm:noun:an>,0,ga:fm:noun:an,actriz,actor,"['Ella', 'es', 'una', 'cantante', ',', 'bailarina', ',', 'actriz', ',', 'madre', 'y', 'esposa', 'de', 'Jay', 'Z', '.', 'La', 'hija', 'de', 'Beyonce', 'se', 'llama', 'Blue', 'Ivy', '.']","[7, 33]",ga:fm,"['Ella', 'es', 'una', 'cantante', ',', 'bailarina', ',', 'actor', ',', 'madre', 'y', 'esposa', 'de', 'Jay', 'Z', '.', 'La', 'hija', 'de', 'Beyonce', 'se', 'llama', 'Blue', 'Ivy', '.']",gender agreement
