'Sentence #','Word','POS','Tag'
,y,,O
,comemos,,O
,a,,O
,un,,O
,restaurante,,O
,francesa,,B-ga
,.,,O
Sentence: 2524,La,,O
,playa,,O
,es,,O
,perfecto,,B-ga
,para,,O
,relijar,,O
,.,,O
Sentence: 2911,EN,,O
,la,,O
,isla,,O
,largo,,B-ga
,",",,O
,tu,,O
,veas,,O
,(,,O
,lava,,O
,),,O
,ir,,O
,en,,O
,la,,O
,ocean,,O
,y,,O
,es,,O
,muy,,O
,interesante,,O
,y,,O
,bonita,,O
,ver,,O
,en,,O
,persona,,O
,.,,O
Sentence: 3891,En,,O
,twitter,,O
,",",,O
,ella,,O
,le,,O
,gusta,,O
,contar,,O
,chistes,,O
,sobre,,O
,Harry,,O
,Potter,,O
,o,,O
,las,,B-na
,política,,O
,.,,O
Sentence: 2100,In,,O
,embargo,,O
,",",,O
,este,,O
,describe,,O
,mi,,O
,vacación,,B-na
,perfecta,,O
,que,,O
,espero,,O
,ir,,O
,en,,O
,un,,O
,día,,O
,.,,O
Sentence: 1512,Chris,,O
,Evans,,O
,es,,O
,famoso,,O
,porque,,O
,jugó,,O
,a,,O
,dos,,O
,super,,O
,hero,,B-na
,.,,O
Sentence: 1462,La,,O
,semana,,O
,pasado,,B-ga
,el,,O
,peleó,,O
,en,,O
,la,,O
,batalla,,O
,en,,O
,Titan,,O
,con,,O
,Thanos,,O
,.,,O
Sentence: 4949,Me,,O
,gusta,,O
,ir,,O
,a,,O
,la,,O
,playa,,O
,",",,O
,por,,O
,esta,,O
,razón,,O
,pienso,,O
,que,,O
,el,,O
,Cribe,,O
,sea,,O
,un,,O
,lugar,,O
,perfecto,,O
,para,,O
,mi,,O
,vacaciones,,O
,perfecto,,B-ga
,.,,O
Sentence: 3316,Mi,,B-na
,favoritos,,O
,de,,O
,sus,,O
,cines,,O
,estan,,O
,“,,O
,Step,,O
,Brothers,,O
,”,,O
,",",,O
,“,,O
,Taladega,,O
,Nights,,O
,”,,O
,y,,O
,“,,O
,The,,O
,Other,,O
,Guys,,O
,”,,O
,.,,O
Sentence: 3517,El,,B-ga
,disminucion,,O
,la,,O
,tasa,,O
,de,,O
,criminalidad,,O
,y,,O
,leventar,,O
,el,,O
,presupuesto,,O
,.,,O
Sentence: 1909,No,,O
,mas,,O
,quero,,O
,una,,O
,vacation,,O
,que,,O
,puedo,,O
,ver,,O
,muchos,,O
,lugares,,O
,bonitas,,B-ga
,.,,O
Sentence: 1954,En,,O
,la,,B-ga
,fin,,O
,de,,O
,semana,,O
,yo,,O
,quiero,,O
,viajar,,O
,a,,O
,la,,O
,ciudad,,O
,de,,O
,New,,O
,York,,O
,.,,O
Sentence: 1805,Una,,O
,vacación,,B-na
,perfecta,,O
,para,,O
,mí,,O
,es,,O
,en,,O
,Italia,,O
,.,,O
,.,,O
,.,,O
,o,,O
,todos,,O
,los,,O
,países,,O
,en,,O
,Europa,,O
,.,,O
Sentence: 1802,Al,,O
,hacerlo,,O
,",",,O
,yo,,O
,creo,,O
,que,,O
,entender,,O
,las,,O
,características,,O
,de,,O
,los,,B-ga
,culturas,,O
,differentes,,O
,en,,O
,la,,O
,música,,O
,latina,,O
,y,,O
,la,,O
,música,,O
,americana,,O
,.,,O
Sentence: 3112,Es,,O
,un,,O
,millonario,,O
,porque,,O
,todos,,B-ga
,las,,O
,películas,,O
,que,,O
,el,,O
,ha,,O
,estado,,O
,en,,O
,.,,O
Sentence: 3223,Por,,O
,el,,O
,día,,O
,de,,O
,la,,O
,muerta,,B-ga
,",",,O
,"""",,O
,Halloween,,O
,",",,O
,"""",,O
,en,,O
,los,,O
,años,,O
,pasados,,O
,yo,,O
,viste,,O
,un,,O
,costume,,O
,de,,O
,Hermione,,O
,.,,O
Sentence: 5130,En,,O
,la,,O
,mañana,,O
,",",,O
,comimos,,O
,desayuno,,O
,tardío,,O
,y,,O
,vamos,,O
,al,,O
,muelle,,O
,de,,O
,Santa,,O
,Mónica,,O
,por,,O
,toda,,B-ga
,el,,O
,día,,O
,.,,O
Sentence: 1439,Hermione,,O
,es,,O
,mi,,O
,personaje,,O
,favorita,,B-ga
,de,,O
,estas,,O
,peliculas,,O
,porque,,O
,ella,,O
,es,,O
,como,,O
,yo,,O
,.,,O
Sentence: 4153,esas,,O
,son,,O
,mis,,O
,actividades,,O
,favoritas,,O
,en,,O
,la,,O
,playa,,O
,pero,,O
,tengo,,O
,una,,O
,otra,,O
,actividad,,O
,favorita,,O
,;,,O
,me,,O
,encanta,,O
,comer,,O
,comida,,O
,de,,O
,otras,,B-ga
,lugares,,O
,.,,O
Sentence: 908,A,,O
,muchas,,B-ga
,adolescentes,,O
,les,,O
,gusta,,O
,también,,O
,porque,,O
,es,,O
,muy,,O
,guapo,,O
,.,,O
Sentence: 807,Su,,B-na
,compañeros,,O
,de,,O
,equipo,,O
,están,,O
,asustados,,O
,cuando,,O
,Kobe,,O
,está,,O
,muy,,O
,serioso,,O
,.,,O
Sentence: 3758,Ella,,O
,le,,O
,gusta,,O
,a,,O
,muchas,,O
,personas,,O
,y,,O
,quiero,,O
,ayudar,,O
,a,,O
,mucho,,B-ga
,gente,,O
,.,,O
Sentence: 1116,Ella,,O
,es,,O
,famosa,,O
,por,,O
,el,,B-ga
,serie,,O
,televisiva,,O
,Modern,,O
,Family,,O
,.,,O
Sentence: 4385,Mi,,B-na
,perfectas,,O
,vacaciones,,O
,es,,O
,yo,,O
,viajo,,O
,Japon,,O
,con,,O
,mis,,O
,amigos,,O
,y,,O
,mi,,O
,familia,,O
,.,,O
Sentence: 5201,Jackie,,O
,fue,,O
,a,,O
,muchos,,B-na
,países,,O
,.,,O
Sentence: 4869,Hawaii,,O
,esta,,O
,muy,,O
,lejos,,O
,para,,O
,las,,B-ga
,otros,,O
,estados,,O
,en,,O
,los,,O
,estados,,O
,unidos,,O
,poque,,O
,el,,O
,oceano,,O
,.,,O
Sentence: 3968,Ella,,O
,esta,,O
,bajo,,B-ga
,y,,O
,delgada,,O
,.,,O
Sentence: 3955,Mi,,O
,compañero,,O
,de,,O
,cuarto,,O
,y,,O
,yo,,O
,nos,,O
,gusta,,O
,ver,,O
,el,,O
,programa,,O
,porque,,O
,la,,B-ga
,programa,,O
,es,,O
,muy,,O
,gracioso,,O
,.,,O
Sentence: 2399,Me,,O
,encantan,,O
,los,,O
,viajes,,O
,por,,O
,carreteras,,O
,porque,,O
,es,,O
,un,,O
,tiempo,,O
,a,,O
,pasar,,O
,el,,O
,tiempo,,O
,con,,O
,amigos,,O
,",",,O
,cantar,,O
,junto,,O
,con,,O
,el,,B-ga
,radio,,O
,",",,O
,y,,O
,hacer,,O
,paradas,,O
,espontáneas,,O
,si,,O
,vemos,,O
,algo,,O
,interesante,,O
,y,,O
,emocionante,,O
,junto,,O
,el,,O
,camino,,O
,.,,O
Sentence: 1779,Ellos,,O
,son,,O
,joven,,B-na
,y,,O
,no,,O
,quiere,,O
,hijos,,O
,.,,O
Sentence: 2462,Kauai,,O
,es,,O
,muy,,O
,hermosa,,O
,y,,O
,hay,,O
,muchos,,O
,plantes,,B-ga
,y,,O
,animales,,O
,.,,O
Sentence: 3457,Después,,O
,de,,O
,esto,,O
,",",,O
,ella,,O
,era,,O
,la,,O
,estrella,,O
,de,,O
,una,,B-ga
,programa,,O
,en,,O
,el,,O
,canal,,O
,Disney,,O
,.,,O
Sentence: 197,Nosotros,,O
,carrera,,O
,contra,,O
,la,,O
,otra,,O
,y,,O
,los,,O
,ganadores,,O
,escogen,,O
,el,,B-ga
,próxima,,O
,actividad,,O
,.,,O
Sentence: 4975,Phoenix,,O
,tiene,,O
,mucho,,O
,espacio,,O
,y,,O
,los,,B-ga
,calles,,O
,son,,O
,grandes,,O
,-,,O
,mas,,O
,grandes,,O
,de,,O
,las,,O
,calles,,O
,California,,O
,.,,O
Sentence: 3537,Las,,O
,personalidades,,O
,de,,O
,sus,,O
,exnovios,,O
,son,,O
,modernas,,O
,",",,O
,complejas,,O
,",",,O
,activas,,O
,",",,O
,impulsivas,,O
,",",,O
,generosas,,O
,",",,O
,serias,,O
,",",,O
,responsable,,B-na
,",",,O
,etcétera,,O
,.,,O
Sentence: 1508,Hace,,O
,días,,O
,",",,O
,conoció,,O
,la,,B-ga
,presidente,,O
,de,,O
,corea,,O
,sur,,O
,.,,O
Sentence: 2189,Por,,O
,la,,O
,noche,,O
,",",,O
,nos,,O
,despertamos,,O
,y,,O
,comenzamos,,O
,la,,O
,vacación,,B-na
,.,,O
Sentence: 4264,La,,O
,casa,,O
,de,,O
,playa,,O
,es,,O
,muy,,O
,pequeña,,O
,pero,,O
,muy,,O
,divertido,,B-ga
,para,,O
,vivir,,O
,en,,O
,.,,O
Sentence: 1132,El,,O
,hijo,,O
,Thiago,,O
,es,,O
,mas,,O
,viejo,,O
,que,,O
,el,,O
,otra,,B-ga
,hijo,,O
,",",,O
,Matteo,,O
,.,,O
Sentence: 3573,Yo,,O
,sabia,,O
,Li,,O
,Qin,,O
,cuando,,O
,ellas,,B-na
,actuó,,O
,en,,O
,una,,O
,serie,,O
,de,,O
,televisión,,O
,",",,O
,‘,,O
,The,,O
,Dream,,O
,of,,O
,Red,,O
,Mansions,,O
,”,,O
,.,,O
Sentence: 2536,Me,,O
,gusta,,O
,mucha,,B-ga
,la,,O
,cultura,,O
,alla,,O
,.,,O
Sentence: 4623,Un,,B-ga
,vacaciones,,O
,perfecta,,O
,es,,O
,cuando,,O
,yo,,O
,viajo,,O
,a,,O
,Thailand,,O
,.,,O
Sentence: 3379,Quiero,,O
,que,,O
,conocerlo,,O
,un,,O
,dia,,O
,y,,O
,tomar,,O
,fotografías,,O
,con,,O
,él,,O
,y,,O
,otros,,O
,Youtubers,,O
,famosas,,B-ga
,.,,O
Sentence: 2745,¡,,O
,Espero,,O
,que,,O
,vamos,,O
,a,,O
,tener,,O
,un,,O
,viaje,,O
,muy,,O
,perfecto,,O
,y,,O
,fantástica,,B-ga
,!,,O
,"""",,O
Sentence: 635,Tom,,O
,Cruise,,O
,trabaja,,O
,en,,O
,Hollywood,,O
,y,,O
,en,,O
,new,,O
,York,,O
,para,,O
,los,,B-ga
,películas,,O
,.,,O
Sentence: 921,Ella,,O
,es,,O
,una,,O
,de,,O
,mis,,O
,cantantes,,O
,favoritos,,B-ga
,del,,O
,mundo,,O
,.,,O
Sentence: 2935,Es,,O
,alta,,O
,y,,O
,muy,,O
,flaco,,B-ga
,.,,O
Sentence: 3910,Su,,O
,favorita,,O
,series,,B-na
,es,,O
,“,,O
,Mash,,O
,.,,O
,”,,O
,Él,,O
,favorito,,O
,artista,,O
,es,,O
,Pablo,,O
,Picasso,,O
,.,,O
Sentence: 4939,Vamos,,O
,a,,O
,tener,,O
,todos,,B-na
,nuestras,,O
,vacunas,,O
,en,,O
,caso,,O
,de,,O
,que,,O
,enfermemos,,O
,durante,,O
,la,,O
,vacaciones,,O
,.,,O
Sentence: 2494,En,,O
,extranjero,,O
,",",,O
,mi,,B-na
,playas,,O
,favoritas,,O
,están,,O
,en,,O
,Hawaií,,O
,.,,O
Sentence: 2047,En,,O
,mi,,O
,vacación,,B-na
,",",,O
,yo,,O
,voy,,O
,a,,O
,comer,,O
,mucho,,O
,helado,,O
,.,,O
Sentence: 3840,A,,O
,el,,O
,fin,,O
,de,,O
,película,,O
,",",,O
,ella,,O
,lastimó,,O
,la,,O
,protagonista,,O
,",",,O
,pero,,O
,ella,,O
,",",,O
,sí,,O
,mismo,,B-ga
,",",,O
,fui,,O
,lastimar,,O
,En,,O
,su,,O
,película,,O
,",",,O
,El,,O
,Cuaderno,,O
,",",,O
,Rachel,,O
,McAdams,,O
,es,,O
,la,,O
,protagonista,,O
,que,,O
,se,,O
,enamore,,O
,con,,O
,el,,O
,protagonista,,O
,",",,O
,Ryan,,O
,Gosling,,O
,.,,O
Sentence: 2348,No,,O
,me,,O
,gusta,,O
,la,,B-ga
,avión,,O
,por,,O
,que,,O
,paso,,O
,mucho,,O
,tiempo,,O
,en,,O
,aeropuerto,,O
,si,,O
,viajo,,O
,en,,O
,avión,,O
,.,,O
Sentence: 2454,Por,,O
,esta,,O
,razón,,O
,",",,O
,no,,O
,voy,,O
,a,,O
,ir,,O
,de,,O
,esta,,O
,vacacion,,B-na
,por,,O
,mucho,,O
,tiempo,,O
,.,,O
Sentence: 4276,todos,,O
,de,,O
,estos,,O
,lugares,,O
,están,,O
,los,,O
,más,,O
,famosas,,B-ga
,de,,O
,Paris,,O
,",",,O
,France,,O
,para,,O
,ir,,O
,de,,O
,compras,,O
,.,,O
Sentence: 2746,Tres,,O
,veranos,,O
,pasado,,B-na
,",",,O
,mi,,O
,madre,,O
,",",,O
,mi,,O
,hermana,,O
,",",,O
,mi,,O
,mejor,,O
,amiga,,O
,",",,O
,y,,O
,yo,,O
,viajamos,,O
,a,,O
,Francia,,O
,para,,O
,celebrar,,O
,mi,,O
,graduación,,O
,de,,O
,la,,O
,escuela,,O
,secundaria,,O
,.,,O
Sentence: 1730,Elle,,O
,estaba,,O
,viejo,,B-ga
,.,,O
Sentence: 1221,Ella,,O
,no,,O
,es,,O
,feo,,B-ga
,.,,O
Sentence: 4112,Sears,,O
,tiene,,O
,muchos,,O
,productos,,O
,por,,O
,las,,B-na
,casa,,O
,",",,O
,electrónica,,O
,y,,O
,tiene,,O
,una,,O
,historia,,O
,rica,,O
,de,,O
,la,,O
,historia,,O
,cultural,,O
,de,,O
,los,,O
,Estados,,O
,Unidos,,O
,.,,O
Sentence: 2507,Voy,,O
,a,,O
,hacer,,O
,turismo,,O
,y,,O
,tomar,,O
,fotos,,O
,de,,O
,edificios,,O
,y,,O
,monumentos,,O
,famosos,,O
,",",,O
,por,,O
,ejemplo,,O
,el,,B-ga
,torre,,O
,Eiffel,,O
,en,,O
,París,,O
,.,,O
Sentence: 785,Él,,O
,apareciendo,,O
,en,,O
,varios,,B-ga
,obras,,O
,de,,O
,Boradway,,O
,",",,O
,por,,O
,ejemplo,,O
,el,,O
,musical,,O
,Guys,,O
,and,,O
,Dolls,,O
,.,,O
Sentence: 904,Ahora,,O
,no,,O
,es,,O
,una,,B-ga
,problema,,O
,porque,,O
,Matty,,O
,es,,O
,mayor,,O
,.,,O
Sentence: 2251,Me,,O
,gusta,,O
,ir,,O
,a,,O
,museos,,O
,militar,,B-na
,y,,O
,arte,,O
,.,,O
Sentence: 3394,Su,,B-na
,características,,O
,de,,O
,personalidad,,O
,son,,O
,cómicas,,O
,",",,O
,locas,,O
,y,,O
,ridículas,,O
,.,,O
Sentence: 4510,Mi,,O
,mamá,,O
,me,,O
,dijo,,O
,que,,O
,lanzara,,O
,una,,O
,moneda,,O
,en,,O
,el,,B-ga
,fuente,,O
,porque,,O
,es,,O
,una,,O
,tradición,,O
,!,,O
Sentence: 4631,la,,O
,ciudad,,O
,es,,O
,muy,,O
,tranquila,,O
,y,,O
,divertida,,O
,.,,O
,¡,,O
,Iría,,O
,allí,,O
,para,,O
,el,,B-ga
,ciudad,,O
,y,,O
,las,,O
,personas,,O
,!,,O
Sentence: 4976,Phoenix,,O
,tiene,,O
,mucho,,O
,espacio,,O
,y,,O
,las,,O
,calles,,O
,son,,O
,grandes,,O
,-,,O
,mas,,O
,grande,,B-na
,de,,O
,las,,O
,calles,,O
,California,,O
,.,,O
Sentence: 1747,él,,O
,es,,O
,una,,B-ga
,jugador,,O
,béisbol,,O
,de,,O
,Major,,O
,League,,O
,Baseball,,O
,.,,O
Sentence: 2268,En,,O
,otros,,O
,días,,O
,nosotros,,O
,iríamos,,O
,comparar,,O
,en,,O
,los,,B-ga
,tiendas,,O
,de,,O
,ropa,,O
,",",,O
,comida,,O
,",",,O
,y,,O
,tiendas,,O
,de,,O
,auténticos,,O
,.,,O
Sentence: 5052,En,,O
,2016,,O
,",",,O
,ella,,O
,lanzó,,O
,una,,O
,película,,O
,que,,O
,se,,O
,llama,,O
,Lemonade,,O
,que,,O
,tuvo,,O
,muchas,,O
,canciones,,O
,y,,O
,ganó,,O
,muchos,,O
,premios,,O
,de,,O
,los,,O
,Grammys,,O
,y,,O
,el,,B-na
,premios,,O
,de,,O
,videos,,O
,y,,O
,música,,O
,MTV,,O
,.,,O
Sentence: 863,El,,O
,tiene,,O
,muchos,,B-na
,dinero,,O
,.,,O
Sentence: 3013,En,,O
,la,,O
,fecha,,O
,segundo,,B-ga
,",",,O
,amos,,O
,a,,O
,nadar,,O
,en,,O
,el,,O
,océano,,O
,y,,O
,ver,,O
,a,,O
,los,,O
,pescados,,O
,y,,O
,las,,O
,plantas,,O
,del,,O
,océano,,O
,.,,O
Sentence: 3586,Tiene,,O
,los,,O
,ojos,,O
,muy,,O
,grandes,,O
,y,,O
,atractivo,,B-na
,.,,O
Sentence: 4188,Para,,O
,una,,O
,vacación,,B-na
,quiero,,O
,ir,,O
,a,,O
,Europa,,O
,.,,O
Sentence: 3898,La,,B-ga
,dia,,O
,de,,O
,el,,O
,concierto,,O
,mi,,O
,amiga,,O
,era,,O
,muy,,O
,emocionada,,O
,y,,O
,feliz,,O
,.,,O
Sentence: 125,A,,O
,todo,,B-ga
,la,,O
,gente,,O
,de,,O
,Italia,,O
,les,,O
,gustan,,O
,bailar,,O
,.,,O
Sentence: 991,Los,,B-ga
,dos,,O
,películas,,O
,son,,O
,más,,O
,famosas,,O
,.,,O
Sentence: 700,Es,,O
,le,,O
,gusta,,O
,un,,B-na
,gatos,,O
,y,,O
,perros,,O
,.,,O
Sentence: 2355,Me,,O
,encantaría,,O
,nadar,,O
,en,,O
,el,,O
,océano,,O
,con,,O
,los,,B-ga
,tortugas,,O
,y,,O
,delfines,,O
,.,,O
Sentence: 4422,Si,,O
,tuviera,,O
,mucho,,O
,dinero,,O
,",",,O
,compraría,,O
,muchos,,B-ga
,boletos,,O
,para,,O
,viajar,,O
,por,,O
,el,,O
,mundo,,O
,.,,O
Sentence: 1206,Su,,O
,línea,,O
,de,,O
,rechazo,,O
,es,,O
,una,,O
,de,,O
,sus,,O
,frases,,O
,más,,O
,célebres,,O
,:,,O
,"""",,O
,¡,,O
,ha,,O
,habido,,O
,muchas,,O
,duquesas,,O
,de,,O
,Westminster,,O
,",",,O
,pero,,O
,hay,,O
,sólo,,O
,un,,B-ga
,Chanel,,O
,!,,O
,"""",,O
Sentence: 3700,Su,,O
,idea,,O
,de,,O
,Communismo,,O
,es,,O
,una,,O
,idea,,O
,politica,,O
,de,,O
,un,,B-ga
,sociedad,,O
,con,,O
,justo,,O
,y,,O
,igualidad,,O
,.,,O
Sentence: 4298,estas,,O
,es,,O
,mis,,O
,vacaciones,,O
,perfectas,,O
,por,,O
,que,,O
,es,,O
,relajante,,B-na
,",",,O
,divertidas,,O
,y,,O
,interesantes,,O
,.,,O
Sentence: 1286,Además,,O
,",",,O
,él,,O
,es,,O
,activos,,B-na
,.,,O
Sentence: 4000,Hay,,O
,menos,,O
,equipos,,O
,para,,O
,futbol,,O
,americana,,B-ga
,que,,O
,son,,O
,tan,,O
,buenos,,O
,como,,O
,los,,O
,Patriots,,O
,.,,O
Sentence: 1995,La,,B-ga
,arte,,O
,es,,O
,muy,,O
,bonito,,O
,.,,O
Sentence: 3589,La,,B-ga
,personaje,,O
,favorito,,O
,de,,O
,mi,,O
,hermana,,O
,es,,O
,Violet,,O
,porque,,O
,su,,O
,pelo,,O
,es,,O
,morado,,O
,.,,O
Sentence: 4736,En,,O
,Madrid,,O
,",",,O
,quería,,O
,ir,,O
,a,,O
,las,,B-ga
,festivales,,O
,y,,O
,el,,O
,mercado,,O
,y,,O
,aprender,,O
,más,,O
,de,,O
,las,,O
,culturas,,O
,en,,O
,esta,,O
,ciudad,,O
,.,,O
Sentence: 4268,Hawaii,,O
,es,,O
,mis,,O
,vacaciones,,O
,perfectas,,O
,proque,,O
,es,,O
,un,,O
,lugar,,O
,perfecta,,B-ga
,con,,O
,clima,,O
,mejor,,O
,y,,O
,una,,O
,mejor,,O
,fruta,,O
,tropical,,O
,.,,O
Sentence: 4182,Las,,O
,hulas,,O
,chicas,,O
,estan,,O
,muy,,O
,bonita,,B-na
,y,,O
,activas,,O
,.,,O
Sentence: 1220,Ella,,O
,tiene,,O
,un,,B-ga
,cara,,O
,.,,O
Sentence: 2817,Tambíen,,O
,",",,O
,me,,O
,gusta,,O
,la,,O
,comida,,O
,de,,O
,Francia,,O
,",",,O
,especialmente,,O
,la,,B-ga
,pan,,O
,y,,O
,las,,O
,galletas,,O
,.,,O
Sentence: 3424,Creo,,O
,estar,,O
,una,,O
,persona,,O
,famosa,,O
,es,,O
,muy,,O
,dificil,,O
,especialmente,,O
,porque,,O
,los,,O
,periodicos,,O
,",",,O
,la,,O
,media,,O
,",",,O
,y,,O
,muchas,,O
,personas,,O
,conozcan,,O
,los,,O
,problemas,,O
,de,,O
,persona,,B-na
,famosa,,O
,y,,O
,conozcan,,O
,la,,O
,informacion,,O
,de,,O
,personal,,O
,.,,O
Sentence: 1171,Ella,,O
,tiene,,O
,un,,B-ga
,madre,,O
,y,,O
,un,,O
,padre,,O
,.,,O
Sentence: 2548,En,,O
,Europa,,O
,",",,O
,es,,O
,fácil,,O
,viajar,,O
,a,,O
,otras,,B-ga
,países,,O
,en,,O
,el,,O
,continente,,O
,.,,O
Sentence: 622,En,,O
,el,,B-ga
,serie,,O
,de,,O
,televisión,,O
,The,,O
,Good,,O
,Place,,O
,",",,O
,Kristen,,O
,Bell,,O
,es,,O
,una,,O
,persona,,O
,mala,,O
,que,,O
,se,,O
,llama,,O
,Eleanor,,O
,.,,O
Sentence: 3804,Ahora,,O
,tiene,,O
,un,,B-ga
,serie,,O
,de,,O
,televisión,,O
,en,,O
,CNN,,O
,llamada,,O
,Partes,,O
,Desconocidas,,O
,.,,O
Sentence: 3642,Espero,,O
,que,,O
,tenga,,O
,los,,O
,últimos,,O
,dos,,O
,años,,O
,es,,O
,increíbles,,O
,de,,O
,Grey,,O
,',,O
,s,,O
,Anatomy,,O
,y,,O
,estoy,,O
,muy,,O
,emocionada,,O
,de,,O
,verlas,,B-ga
,.,,O
Sentence: 858,Paul,,O
,McCartney,,O
,es,,O
,un,,O
,musico,,O
,muy,,O
,famosa,,B-ga
,.,,O
Sentence: 4442,Estoy,,O
,muy,,O
,contenta,,O
,terminar,,O
,mis,,O
,clases,,O
,porque,,O
,ellas,,O
,son,,O
,muy,,O
,difícil,,B-na
,.,,O
Sentence: 1461,Con,,O
,respecto,,O
,a,,O
,sus,,B-na
,familia,,O
,y,,O
,amigos,,O
,",",,O
,sus,,O
,mejores,,O
,amigos,,O
,son,,O
,War,,O
,Machine,,O
,y,,O
,Bruce,,O
,Banner,,O
,"""",,O
,The,,O
,Hulk,,O
,"""",,O
,.,,O
Sentence: 2060,En,,O
,mi,,O
,vacación,,B-na
,",",,O
,yo,,O
,quiero,,O
,hacer,,O
,mis,,O
,actividades,,O
,favoritas,,O
,.,,O
Sentence: 4653,Cada,,O
,noche,,O
,buena,,O
,duermo,,O
,porque,,O
,yo,,O
,cansado,,O
,y,,O
,felices,,O
,todas,,O
,los,,B-ga
,noches,,O
,.,,O
Sentence: 1151,En,,O
,la,,B-ga
,programa,,O
,de,,O
,televisión,,O
,",",,O
,Leslie,,O
,Knope,,O
,se,,O
,casa,,O
,con,,O
,Ben,,O
,Wyatt,,O
,y,,O
,tiene,,O
,tres,,O
,hijos,,O
,.,,O
Sentence: 3990,Biles,,O
,fue,,O
,tres,,O
,veces,,O
,campeona,,O
,mundial,,O
,",",,O
,tres,,O
,veces,,O
,campeón,,B-ga
,mundial,,O
,",",,O
,dos,,O
,veces,,O
,campeona,,O
,mundial,,O
,de,,O
,balanza,,O
,de,,O
,balanza,,O
,",",,O
,cuatro,,O
,veces,,O
,campeona,,O
,nacional,,O
,de,,O
,Estados,,O
,Unidos,,O
,y,,O
,miembro,,O
,de,,O
,los,,O
,equipos,,O
,estadounidenses,,O
,ganadores,,O
,de,,O
,medallas,,O
,de,,O
,oro,,O
,en,,O
,los,,O
,Campeonatos,,O
,Mundiales,,O
,de,,O
,Gimnasia,,O
,Artística,,O
,2014,,O
,y,,O
,2015,,O
,.,,O
Sentence: 2389,Y,,O
,este,,O
,párrafo,,O
,es,,O
,una,,O
,descripción,,O
,de,,O
,mi,,O
,vacación,,B-na
,muy,,O
,perfecta,,O
,.,,O
Sentence: 2272,Nosotros,,B-ga
,visitamos,,O
,muchos,,O
,cafés,,O
,y,,O
,restaurantes,,O
,.,,O
Sentence: 2914,Él,,O
,afectó,,O
,mucho,,O
,a,,O
,la,,O
,economía,,O
,de,,O
,China,,O
,y,,O
,hizo,,O
,mi,,O
,ciudad,,O
,el,,B-ga
,más,,O
,importante,,O
,dentro,,O
,de,,O
,mi,,O
,país,,O
,.,,O
Sentence: 2499,Mi,,O
,vacacion,,B-na
,perfecta,,O
,seria,,O
,en,,O
,Las,,O
,Vegas,,O
,.,,O
Sentence: 3360,El,,O
,su,,O
,sola,,O
,experiencia,,O
,de,,O
,actuar,,O
,otro,,O
,que,,O
,una,,O
,parte,,O
,pequeno,,B-ga
,en,,O
,el,,O
,programa,,O
,de,,O
,television,,O
,"""",,O
,iCarly,,O
,"""",,O
,.,,O
Sentence: 4993,Las,,O
,montanas,,O
