,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
56,93,b415e59e20c87c8daba6816136d38e6dfc1fc005c53019b66aacc878ce1ccdc2,SPA 2,Yo quiero conocer Taylor Swift porque ella no es aburrida.,Yo quiero conocer []{a}<az:do:an> Taylor Swift porque ella no es aburrida.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'quiero', 'conocer', 'a', 'Taylor', 'Swift', 'porque', 'ella', 'no', 'es', 'aburrida', '.']","[3, 16]",az:do,"['Yo', 'quiero', 'conocer', '[NONE]', 'Taylor', 'Swift', 'porque', 'ella', 'no', 'es', 'aburrida', '.']",article
58,95,accc0f9677ab4370f3f00027b46e92bd56314c9b9a1a4cd8941a95b4001d95f8,SPA 3,"También fue reelecto Presidente en 2012, derrotando al gobernador de Massachusetts Mitt Romney.","También fue reelecto Presidente en 2012, derrotando [al]{al}<aa:do:an> gobernador de Massachusetts Mitt Romney.",1,[al]{al}<aa:do:an>,0,aa:do:an,al,al,"['También', 'fue', 'reelecto', 'Presidente', 'en', '2012', ',', 'derrotando', 'al', 'gobernador', 'de', 'Massachusetts', 'Mitt', 'Romney', '.']","[8, 24]",aa:do,"['También', 'fue', 'reelecto', 'Presidente', 'en', '2012', ',', 'derrotando', 'al', 'gobernador', 'de', 'Massachusetts', 'Mitt', 'Romney', '.']",article
65,107,ffcd4694d08561234eb0bce5e46aed4799d2e806326fce57ff97745d237ddf3b,SPA 2,Tienen mas imágenes generadas por computadora para hacer Walker hermano mira Paul.,Tienen mas imágenes generadas por computadora para hacer Walker hermano mira []{a}<az:do:an>  Paul.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Tienen', 'mas', 'imágenes', 'generadas', 'por', 'computadora', 'para', 'hacer', 'Walker', 'hermano', 'mira', 'a', 'Paul', '.']","[11, 26]",az:do,"['Tienen', 'mas', 'imágenes', 'generadas', 'por', 'computadora', 'para', 'hacer', 'Walker', 'hermano', 'mira', '[NONE]', 'Paul', '.']",article
66,108,e638d8e20d0d005f43a2c9c0f518002b1292bfcb4710b4c18dd58d0c67688bd7,SPA 3,Adopta niños de países extranjeros y es un buen padre.,Adopta []{a}<az:do:an> niños de países extranjeros y es un buen padre.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Adopta', 'a', 'niños', 'de', 'países', 'extranjeros', 'y', 'es', 'un', 'buen', 'padre', '.']","[1, 14]",az:do,"['Adopta', '[NONE]', 'niños', 'de', 'países', 'extranjeros', 'y', 'es', 'un', 'buen', 'padre', '.']",article
67,110,8da90fe55cc770b104f6a410194623e7da3cfed34fbc3996b5df2752811b55d7,SPA 2,El religión de Cristiano ayudaba Bush cuando no tiene un problema de alcohol.,El religión de Cristiano ayudaba []{a}<az:do:an> Bush cuando no tiene un problema de alcohol.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['El', 'religión', 'de', 'Cristiano', 'ayudaba', 'a', 'Bush', 'cuando', 'no', 'tiene', 'un', 'problema', 'de', 'alcohol', '.']","[5, 21]",az:do,"['El', 'religión', 'de', 'Cristiano', 'ayudaba', '[NONE]', 'Bush', 'cuando', 'no', 'tiene', 'un', 'problema', 'de', 'alcohol', '.']",article
69,112,ec9b28700c3f0eb5069d1a2933862c8835fbb75244fa3b08619d75f7cf6713c9,SPA 3,Ojalá me conozca ella en la futura.,Ojalá me conozca []{a}<az:do:an> ella en la futura.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ojalá', 'me', 'conozca', 'a', 'ella', 'en', 'la', 'futura', '.']","[3, 13]",az:do,"['Ojalá', 'me', 'conozca', '[NONE]', 'ella', 'en', 'la', 'futura', '.']",article
70,115,89fe26f6907beac117086495dd63433da36d41a128c27b65ab62f0a7a66e3948,SPA 3,"Me encanta el libro, y pienso él jugó bien el personaje y capturó la imagen de Gatsby.","Me encanta el libro, y pienso él jugó bien []{a}<az:do:an> el personaje y capturó la imagen de Gatsby.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['Me', 'encanta', 'el', 'libro', ',', 'y', 'pienso', 'él', 'jugó', 'bien', 'a', 'el', 'personaje', 'y', 'capturó', 'la', 'imagen', 'de', 'Gatsby', '.']","[10, 31]",az:do,"['Me', 'encanta', 'el', 'libro', ',', 'y', 'pienso', 'él', 'jugó', 'bien', '[NONE]', 'el', 'personaje', 'y', 'capturó', 'la', 'imagen', 'de', 'Gatsby', '.']",article
75,122,64bbabc47296b8fffd1988471504f57b718c1b22af55ca174bede35952be5b60,SPA 3,"

Yo vi Selena primera en Wizard of Waverly Place de Disney.",Yo vi []{a}<az:do:an> Selena primera en Wizard of Waverly Place de Disney.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'vi', 'a', 'Selena', 'primera', 'en', 'Wizard', 'of', 'Waverly', 'Place', 'de', 'Disney', '.']","[2, 16]",az:do,"['Yo', 'vi', '[NONE]', 'Selena', 'primera', 'en', 'Wizard', 'of', 'Waverly', 'Place', 'de', 'Disney', '.']",article
79,127,90325e78cab8c2708a30079d4b050dd1eba688026f1c44a6abfc0c81837b4a36,SPA 2,yo pienso Keanu es modesto y yo quiero conocer él.,yo pienso Keanu es modesto y yo quiero conocer []{a}<az:do:an> él.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['yo', 'pienso', 'Keanu', 'es', 'modesto', 'y', 'yo', 'quiero', 'conocer', 'a', 'él', '.']","[9, 22]",az:do,"['yo', 'pienso', 'Keanu', 'es', 'modesto', 'y', 'yo', 'quiero', 'conocer', '[NONE]', 'él', '.']",article
81,129,edbbee7d9571c24fc511f752b384418c89b31623299acf6d4a1be6c0d4a67bec,SPA 1,Él conoce Michelle en Chicago a 1989.,Él conoce []{a}<az:do:an> Michelle en Chicago a 1989.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Él', 'conoce', 'a', 'Michelle', 'en', 'Chicago', 'a', '1989', '.']","[2, 12]",az:do,"['Él', 'conoce', '[NONE]', 'Michelle', 'en', 'Chicago', 'a', '1989', '.']",article
81,129,04959cbc00e3de505494e92ecf8baee9142f4cb055cba736c87e4b4826ca97af,SPA 1,Ella motivator los chicos jugar afuera y activar y comer saludable.,Ella motivator []{a}<az:do:an> los chicos jugar afuera y activar y comer saludable.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ella', 'motivator', 'a', 'los', 'chicos', 'jugar', 'afuera', 'y', 'activar', 'y', 'comer', 'saludable', '.']","[2, 16]",az:do,"['Ella', 'motivator', '[NONE]', 'los', 'chicos', 'jugar', 'afuera', 'y', 'activar', 'y', 'comer', 'saludable', '.']",article
82,130,2ba72d616e538bd6b455b36888422354f553d51f06a5046b49958a393d9ab45d,SPA 1,Esta lo hizo mucha gente en el mundo como él.,Esta lo hizo []{a}<az:do:an> mucha gente en el mundo como él.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Esta', 'lo', 'hizo', 'a', 'mucha', 'gente', 'en', 'el', 'mundo', 'como', 'él', '.']","[3, 16]",az:do,"['Esta', 'lo', 'hizo', '[NONE]', 'mucha', 'gente', 'en', 'el', 'mundo', 'como', 'él', '.']",article
82,130,ffe49f96b480af60609fa90f84ca1d803ec398ee208b6c7cd153a04f734458c7,SPA 1,Esta acta ayuda muchos niños en de Estados Unidos.,Esta acta ayuda []{a}<az:do:an> muchos niños en de Estados Unidos.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Esta', 'acta', 'ayuda', 'a', 'muchos', 'niños', 'en', 'de', 'Estados', 'Unidos', '.']","[3, 15]",az:do,"['Esta', 'acta', 'ayuda', '[NONE]', 'muchos', 'niños', 'en', 'de', 'Estados', 'Unidos', '.']",article
83,135,92715d7e8331b679e908cff64b761f47018c666995a2773eb20717337b86b24b,SPA 2,Le gusta salir con su familia y ayudar personas.,Le gusta salir con su familia y ayudar []{a}<az:do:an> personas.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Le', 'gusta', 'salir', 'con', 'su', 'familia', 'y', 'ayudar', 'a', 'personas', '.']","[8, 20]",az:do,"['Le', 'gusta', 'salir', 'con', 'su', 'familia', 'y', 'ayudar', '[NONE]', 'personas', '.']",article
85,137,fd1d3f78044f4edce45eb832847c51480e568874b76e3367f1d311da5a6143d2,SPA 1,Yo admiro Barack Obama y Hawaii.,Yo admiro []{a}<az:do:an> Barack Obama y Hawaii.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'admiro', 'a', 'Barack', 'Obama', 'y', 'Hawaii', '.']","[2, 11]",az:do,"['Yo', 'admiro', '[NONE]', 'Barack', 'Obama', 'y', 'Hawaii', '.']",article
85,137,12e65293de251d03389fa6eb761c3d1873c4ae6328228e3ddcdb9ce85200ed77,SPA 1,Se gusta ayudar la gente.,Se gusta ayudar []{a}<az:do:an> la gente.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Se', 'gusta', 'ayudar', 'a', 'la', 'gente', '.']","[3, 11]",az:do,"['Se', 'gusta', 'ayudar', '[NONE]', 'la', 'gente', '.']",article
86,139,90c6b0159e9a5cbfb1930011753ffb4d284a5d38a20aedc6f4e8e9c7ba189472,SPA 2,"Ian Somerhalder siempre jugó su personaje, Damon en el diarios de vampiros muy bien.","Ian Somerhalder siempre jugó []{a}<az:do:an> su personaje, Damon en el diarios de vampiros muy bien.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ian', 'Somerhalder', 'siempre', 'jugo', '́', 'a', 'su', 'personaje', ',', 'Damon', 'en', 'el', 'diarios', 'de', 'vampiros', 'muy', 'bien', '.']","[5, 24]",az:do,"['Ian', 'Somerhalder', 'siempre', 'jugo', '́', '[NONE]', 'su', 'personaje', ',', 'Damon', 'en', 'el', 'diarios', 'de', 'vampiros', 'muy', 'bien', '.']",article
86,139,b2849ec988099fcc8c0a30a5c5261514024e2ab86aeb208222c58f13465da6fb,SPA 2,Yo admiro el porque a pesar de que el es muy ocupado con su carrera de actor el hacer tiempo hablar sobre el medio ambiente.,Yo admiro []{a}<az:do:an> el porque a pesar de que el es muy ocupado con su carrera de actor el hacer tiempo hablar sobre el medio ambiente.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'admiro', 'a', 'el', 'porque', 'a', 'pesar', 'de', 'que', 'el', 'es', 'muy', 'ocupado', 'con', 'su', 'carrera', 'de', 'actor', 'el', 'hacer', 'tiempo', 'hablar', 'sobre', 'el', 'medio', 'ambiente', '.']","[2, 30]",az:do,"['Yo', 'admiro', '[NONE]', 'el', 'porque', 'a', 'pesar', 'de', 'que', 'el', 'es', 'muy', 'ocupado', 'con', 'su', 'carrera', 'de', 'actor', 'el', 'hacer', 'tiempo', 'hablar', 'sobre', 'el', 'medio', 'ambiente', '.']",article
86,139,d6be24b02008e7dd609552f1f9089fd04945e3ad81a8be7f21a165b1a8efe2ab,SPA 2,Ian Somerhalder visita lugares diferentes y entrevistar personas que ayudar el medio ambiente y personas que están contra ayudar medio ambiente y no querer cambiar para ayudar el medio ambiente.,Ian Somerhalder visita lugares diferentes y entrevistar []{a}<az:do:an> personas que ayudar el medio ambiente y personas que están contra ayudar medio ambiente y no querer cambiar para ayudar el medio ambiente.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ian', 'Somerhalder', 'visita', 'lugares', 'diferentes', 'y', 'entrevistar', 'a', 'personas', 'que', 'ayudar', 'el', 'medio', 'ambiente', 'y', 'personas', 'que', 'están', 'contra', 'ayudar', 'medio', 'ambiente', 'y', 'no', 'querer', 'cambiar', 'para', 'ayudar', 'el', 'medio', 'ambiente', '.']","[7, 40]",az:do,"['Ian', 'Somerhalder', 'visita', 'lugares', 'diferentes', 'y', 'entrevistar', '[NONE]', 'personas', 'que', 'ayudar', 'el', 'medio', 'ambiente', 'y', 'personas', 'que', 'están', 'contra', 'ayudar', 'medio', 'ambiente', 'y', 'no', 'querer', 'cambiar', 'para', 'ayudar', 'el', 'medio', 'ambiente', '.']",article
86,139,7fcc1b964f356d5b3dad9225764cb914dda11c2bea8138b58384f73829ab156f,SPA 2,Yo admiro Ian Somerhalder porque yo estoy interesado en ayudando el medio ambiente.,Yo admiro []{a}<az:do:an> Ian Somerhalder porque yo estoy interesado en ayudando el medio ambiente.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'admiro', 'a', 'Ian', 'Somerhalder', 'porque', 'yo', 'estoy', 'interesado', 'en', 'ayudando', 'el', 'medio', 'ambiente', '.']","[2, 18]",az:do,"['Yo', 'admiro', '[NONE]', 'Ian', 'Somerhalder', 'porque', 'yo', 'estoy', 'interesado', 'en', 'ayudando', 'el', 'medio', 'ambiente', '.']",article
90,144,23f769f4972184b3c91115068a79f84ab5d5400f23ee38f8889b8377d9eee613,SPA 1,"En septiembre de 2006, Pitt y Jolie establecieron una organización caritativa, la Fundación Jolie-Pitt, para ayudar a las causas humanitarias en todo el mundo.","En septiembre de 2006, Pitt y Jolie establecieron una organización caritativa, la Fundación Jolie-Pitt, para ayudar [a]{}<za:do:inan> las causas humanitarias en todo el mundo.",1,[a]{}<za:do:inan>,0,za:do:inan,,a,"['En', 'septiembre', 'de', '2006', ',', 'Pitt', 'y', 'Jolie', 'establecieron', 'una', 'organización', 'caritativa', ',', 'la', 'Fundación', 'Jolie', '-', 'Pitt', ',', 'para', 'ayudar', '[NONE]', 'las', 'causas', 'humanitarias', 'en', 'todo', 'el', 'mundo', '.']","[21, 52]",za:do,"['En', 'septiembre', 'de', '2006', ',', 'Pitt', 'y', 'Jolie', 'establecieron', 'una', 'organización', 'caritativa', ',', 'la', 'Fundación', 'Jolie', '-', 'Pitt', ',', 'para', 'ayudar', 'a', 'las', 'causas', 'humanitarias', 'en', 'todo', 'el', 'mundo', '.']",article
93,147,830fa57c52bdefc49a9cc094b5a44db49728422d571539654fd767bf185ed389,SPA 1,Ella ama Abbi mucho.,Ella ama []{a}<az:do:an> Abbi mucho.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ella', 'ama', 'a', 'Abbi', 'mucho', '.']","[2, 9]",az:do,"['Ella', 'ama', '[NONE]', 'Abbi', 'mucho', '.']",article
93,147,40a34b233fc60d28f9c0002bef7c2a9d000e06d819bf4a5da71208b0df3c1bd3,SPA 1,Ella llevó el guión a la Comedy Central y lo compraron.,Ella llevó el guión a[]{a}<az:do:an> la Comedy Central y lo compraron.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ella', 'llevó', 'el', 'guión', 'a', 'a', 'la', 'Comedy', 'Central', 'y', 'lo', 'compraron', '.']","[5, 19]",az:do,"['Ella', 'llevó', 'el', 'guión', 'a', '[NONE]', 'la', 'Comedy', 'Central', 'y', 'lo', 'compraron', '.']",article
99,163,d32f6cf2138953010e7a3a419e625fb19dc1c738e28db96381a4af11f27d8e69,SPA 2,"Yo quería ver Yg en un concierto por muchos años porque me gusta muchos de sus canciones, y mis amigos que fue a su concierto dijo que su concierto era muy bien y divertido.","Yo quería ver []{a}<az:do:an> Yg en un concierto por muchos años porque me gusta muchos de sus canciones, y mis amigos que fue a su concierto dijo que su concierto era muy bien y divertido.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'quería', 'ver', 'a', 'Yg', 'en', 'un', 'concierto', 'por', 'muchos', 'años', 'porque', 'me', 'gusta', 'muchos', 'de', 'sus', 'canciones', ',', 'y', 'mis', 'amigos', 'que', 'fue', 'a', 'su', 'concierto', 'dijo', 'que', 'su', 'concierto', 'era', 'muy', 'bien', 'y', 'divertido', '.']","[3, 41]",az:do,"['Yo', 'quería', 'ver', '[NONE]', 'Yg', 'en', 'un', 'concierto', 'por', 'muchos', 'años', 'porque', 'me', 'gusta', 'muchos', 'de', 'sus', 'canciones', ',', 'y', 'mis', 'amigos', 'que', 'fue', 'a', 'su', 'concierto', 'dijo', 'que', 'su', 'concierto', 'era', 'muy', 'bien', 'y', 'divertido', '.']",article
99,163,d7c17a7281938a2c29ce55a25e3da2a32c2041a3e1a3286b3611f6e77c392187,SPA 2,"Ese verano, yo fui a Tampa, Florida a visitar mi primo que vive aquel.","Ese verano, yo fui a Tampa, Florida a visitar []{a}<az:do:an> mi primo que vive aquel.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['Ese', 'verano', ',', 'yo', 'fui', 'a', 'Tampa', ',', 'Florida', 'a', 'visitar', 'a', 'mi', 'primo', 'que', 'vive', 'aquel', '.']","[11, 30]",az:do,"['Ese', 'verano', ',', 'yo', 'fui', 'a', 'Tampa', ',', 'Florida', 'a', 'visitar', '[NONE]', 'mi', 'primo', 'que', 'vive', 'aquel', '.']",article
99,163,f5b4adb2e306662ad22fbf018074683e9640321f823e1b35ccc9f9d33f57387e,SPA 2,"El concierto era muy bien, y después del concierto, my primo trajo me en el dormitorio del Yg, y yo conocí el, hablé con el, y tomé un foto.","El concierto era muy bien, y después del concierto, my primo trajo me en el dormitorio del Yg, y yo conocí []{a}<az:do:an> el, hablé con el, y tomé un foto.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['El', 'concierto', 'era', 'muy', 'bien', ',', 'y', 'después', 'del', 'concierto', ',', 'my', 'primo', 'trajo', 'me', 'en', 'el', 'dormitorio', 'del', 'Yg', ',', 'y', 'yo', 'conocí', 'a', 'el', ',', 'hablé', 'con', 'el', ',', 'y', 'tomé', 'un', 'foto', '.']","[24, 61]",az:do,"['El', 'concierto', 'era', 'muy', 'bien', ',', 'y', 'después', 'del', 'concierto', ',', 'my', 'primo', 'trajo', 'me', 'en', 'el', 'dormitorio', 'del', 'Yg', ',', 'y', 'yo', 'conocí', '[NONE]', 'el', ',', 'hablé', 'con', 'el', ',', 'y', 'tomé', 'un', 'foto', '.']",article
99,163,06edc59e2ac5af04c6fa5c99dacdf39d732ba23f6b92e2374be6377bbbc6204e,SPA 2,Yo era muy feliz porque quería conocí el por mucho tiempo.,Yo era muy feliz porque quería conocí []{a}<az:do:an> el por mucho tiempo.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'era', 'muy', 'feliz', 'porque', 'quería', 'conocí', 'a', 'el', 'por', 'mucho', 'tiempo', '.']","[7, 21]",az:do,"['Yo', 'era', 'muy', 'feliz', 'porque', 'quería', 'conocí', '[NONE]', 'el', 'por', 'mucho', 'tiempo', '.']",article
102,169,d4c73a063df2a2f6b785044ff19ce9a2073a5bbbf6434d950f48dcd7d70c14ec,SPA 3,"Su canción más famosa es “You and Me,” y incluye artista popular G-Eazy.","Su canción más famosa es “You and Me,” y incluye []{a}<az:do:an> artista popular G-Eazy.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['Su', 'canción', 'más', 'famosa', 'es', '“', 'You', 'and', 'Me', ',', '”', 'y', 'incluye', 'a', 'artista', 'popular', 'G', '-', 'Eazy', '.']","[13, 34]",az:do,"['Su', 'canción', 'más', 'famosa', 'es', '“', 'You', 'and', 'Me', ',', '”', 'y', 'incluye', '[NONE]', 'artista', 'popular', 'G', '-', 'Eazy', '.']",article
