,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,final_evident_index,target_sentence,source_sentence
97,331,8ca7d769ebd874ee75d15b043b23c732a31a4e1563647423f9bfcd8eda1a72bf,SPA 2,Los Gigantes derroto Los Tigres de Detroit cuatro juegos a cero.,Los Gigantes derroto []{a}<az:do:an> Los Tigres de Detroit cuatro juegos a cero.,[]{a}<az:do:an>,az:do:an,a,,"['Los', 'Gigantes', 'derroto', 'a', 'Los', 'Tigres', 'de', 'Detroit', 'cuatro', 'juegos', 'a', 'cero', '.']","['Los', 'Gigantes', 'derroto', '[NONE]', 'Los', 'Tigres', 'de', 'Detroit', 'cuatro', 'juegos', 'a', 'cero', '.']","[3, 17]",article,"[2, 4, 5, 16, 18, 19]",Los Gigantes derroto a Los Tigres de Detroit cuatro juegos a cero.,Los Gigantes derroto [NONE] Los Tigres de Detroit cuatro juegos a cero.
102,344,3d887014ab6acbb9d2abcfbbb60bb5b59559a6eea0004e1977ce213166494729,SPA 2,Encuentra su padre y aprende como vivir en el mundo de los humans.,Encuentra []{a}<az:do:an> su padre y aprende como vivir en el mundo de los humans.,[]{a}<az:do:an>,az:do:an,a,,"['Encuentra', 'a', 'su', 'padre', 'y', 'aprende', 'como', 'vivir', 'en', 'el', 'mundo', 'de', 'los', 'humans', '.']","['Encuentra', '[NONE]', 'su', 'padre', 'y', 'aprende', 'como', 'vivir', 'en', 'el', 'mundo', 'de', 'los', 'humans', '.']","[1, 17]",article,"[0, 2, 3, 4, 5, 16, 18, 19, 20, 21]",Encuentra a su padre y aprende como vivir en el mundo de los humans.,Encuentra [NONE] su padre y aprende como vivir en el mundo de los humans.
105,350,1c6c8d074d5425bbe856518581736ea4f0eb1b8d7463f04c269d5a33261b6c3a,SPA 2,"En su ultima año de escuela, Harry Potter mató Señor Voldemort y terminó la guerra.","En su ultima año de escuela, Harry Potter mató []{a}<az:do:an> Señor Voldemort y terminó la guerra.",[]{a}<az:do:an>,az:do:an,a,,"['En', 'su', 'ultima', 'año', 'de', 'escuela', ',', 'Harry', 'Potter', 'mató', 'a', 'Señor', 'Voldemort', 'y', 'terminó', 'la', 'guerra', '.']","['En', 'su', 'ultima', 'año', 'de', 'escuela', ',', 'Harry', 'Potter', 'mató', '[NONE]', 'Señor', 'Voldemort', 'y', 'terminó', 'la', 'guerra', '.']","[10, 29]",article,"[9, 11, 12, 28, 30, 31]","En su ultima año de escuela, Harry Potter mató a Señor Voldemort y terminó la guerra.","En su ultima año de escuela, Harry Potter mató [NONE] Señor Voldemort y terminó la guerra."
112,354,73c4dcfd028e68c4d7e56db690209cc5703da593ea814757532efb4a42cab899,SPA 3,"Él entrenó One Direction, Leona Lewis, Susan Boyle, Little Mix, Fifth Harmony, y muchas más personas.","Él entrenó []{a}<az:do:an> One Direction, Leona Lewis, Susan Boyle, Little Mix, Fifth Harmony, y muchas más personas.",[]{a}<az:do:an>,az:do:an,a,,"['Él', 'entrenó', 'a', 'One', 'Direction', ',', 'Leona', 'Lewis', ',', 'Susan', 'Boyle', ',', 'Little', 'Mix', ',', 'Fifth', 'Harmony', ',', 'y', 'muchas', 'más', 'personas', '.']","['Él', 'entrenó', '[NONE]', 'One', 'Direction', ',', 'Leona', 'Lewis', ',', 'Susan', 'Boyle', ',', 'Little', 'Mix', ',', 'Fifth', 'Harmony', ',', 'y', 'muchas', 'más', 'personas', '.']","[2, 26]",article,"[1, 3, 4, 25, 27, 28]","Él entrenó a One Direction, Leona Lewis, Susan Boyle, Little Mix, Fifth Harmony, y muchas más personas.","Él entrenó [NONE] One Direction, Leona Lewis, Susan Boyle, Little Mix, Fifth Harmony, y muchas más personas."
118,375,7f6b072f3f89689201cc20ba3cd2d541c15f9129edf41d51db3c0b546c7cd57b,SPA 3,"Cuando tenia ocho anos, yo encontré Arnold Schwarzenegger.","Cuando tenia ocho anos, yo encontré []{a}<az:do:an> Arnold Schwarzenegger.",[]{a}<az:do:an>,az:do:an,a,,"['Cuando', 'tenia', 'ocho', 'anos', ',', 'yo', 'encontré', 'a', 'Arnold', 'Schwarzenegger', '.']","['Cuando', 'tenia', 'ocho', 'anos', ',', 'yo', 'encontré', '[NONE]', 'Arnold', 'Schwarzenegger', '.']","[7, 19]",article,"[6, 8, 9, 18, 20, 21]","Cuando tenia ocho anos, yo encontré a Arnold Schwarzenegger.","Cuando tenia ocho anos, yo encontré [NONE] Arnold Schwarzenegger."
124,392,939b7cfadca1eb416e9426350842cf956d4c15d0257629a0aefa7ab4e60e614b,SPA 3,Yo respeto Robert Downey Junior mucho por eso porque el era un mal persona pero el transforma a un bueno persona.,Yo respeto []{a}<az:do:an>  Robert Downey Junior mucho por eso porque el era un mal persona pero el transforma a un bueno persona.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'respeto', 'a', 'Robert', 'Downey', 'Junior', 'mucho', 'por', 'eso', 'porque', 'el', 'era', 'un', 'mal', 'persona', 'pero', 'el', 'transforma', 'a', 'un', 'bueno', 'persona', '.']","['Yo', 'respeto', '[NONE]', 'Robert', 'Downey', 'Junior', 'mucho', 'por', 'eso', 'porque', 'el', 'era', 'un', 'mal', 'persona', 'pero', 'el', 'transforma', 'a', 'un', 'bueno', 'persona', '.']","[2, 26]",article,"[1, 3, 4, 5, 25, 27, 28, 29]",Yo respeto a Robert Downey Junior mucho por eso porque el era un mal persona pero el transforma a un bueno persona.,Yo respeto [NONE] Robert Downey Junior mucho por eso porque el era un mal persona pero el transforma a un bueno persona.
152,511,7f02eb3f05cbae5ee6bb096e5f2f1141b03ad3771181cfd5261bd15bbf98e8fc,SPA 1,Donald Trump es padre y madre ensenan Donald Trump economia.,Donald Trump es padre y madre ensenan []{a}<az:do:an> Donald Trump economia.,[]{a}<az:do:an>,az:do:an,a,,"['Donald', 'Trump', 'es', 'padre', 'y', 'madre', 'ensenan', 'a', 'Donald', 'Trump', 'economia', '.']","['Donald', 'Trump', 'es', 'padre', 'y', 'madre', 'ensenan', '[NONE]', 'Donald', 'Trump', 'economia', '.']","[7, 20]",article,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23]",Donald Trump es padre y madre ensenan a Donald Trump economia.,Donald Trump es padre y madre ensenan [NONE] Donald Trump economia.
156,521,ffc3ba25a1f8e81db1cd700cadc48c528425d1f466d41e0670293080d20d68d7,SPA 3,Karl Marx inspiraba muchas personas a luchar por Communismo.,Karl Marx inspiraba []{a}<az:do:an> muchas personas a luchar por Communismo.,[]{a}<az:do:an>,az:do:an,a,,"['Karl', 'Marx', 'inspiraba', 'a', 'muchas', 'personas', 'a', 'luchar', 'por', 'Communismo', '.']","['Karl', 'Marx', 'inspiraba', '[NONE]', 'muchas', 'personas', 'a', 'luchar', 'por', 'Communismo', '.']","[3, 15]",article,"[0, 1, 2, 6, 12, 13, 14, 18]",Karl Marx inspiraba a muchas personas a luchar por Communismo.,Karl Marx inspiraba [NONE] muchas personas a luchar por Communismo.
162,613,fcc5acec4aace30bfd290f369e3626a905991833ed11db775efc1e38d741a111,SPA 3,Conocío su esposa cuando fueron en la teleserie  Correlli y la secasó en 1996.,Conocío []{a}<az:do:an> su esposa cuando fueron en la teleserie  Correlli y la secasó en 1996.,[]{a}<az:do:an>,az:do:an,a,,"['Conocío', 'a', 'su', 'esposa', 'cuando', 'fueron', 'en', 'la', 'teleserie', 'Correlli', 'y', 'la', 'secasó', 'en', '1996', '.']","['Conocío', '[NONE]', 'su', 'esposa', 'cuando', 'fueron', 'en', 'la', 'teleserie', 'Correlli', 'y', 'la', 'secasó', 'en', '1996', '.']","[1, 18]",article,"[0, 2, 3, 17, 19, 20]",Conocío a su esposa cuando fueron en la teleserie Correlli y la secasó en 1996.,Conocío [NONE] su esposa cuando fueron en la teleserie Correlli y la secasó en 1996.
182,708,8c9f323872ddea764a46d572ee265fc2170e0e63d9dd2092d20f21af2b1a474e,SPA 3,Espero que mi jefe conozca Paul Farmer porque es mi sueño conocerlo.,Espero que mi jefe conozca []{a}<az:do:an> Paul Farmer porque es mi sueño conocerlo.,[]{a}<az:do:an>,az:do:an,a,,"['Espero', 'que', 'mi', 'jefe', 'conozca', 'a', 'Paul', 'Farmer', 'porque', 'es', 'mi', 'sueño', 'conocerlo', '.']","['Espero', 'que', 'mi', 'jefe', 'conozca', '[NONE]', 'Paul', 'Farmer', 'porque', 'es', 'mi', 'sueño', 'conocerlo', '.']","[5, 20]",article,"[0, 4, 6, 7, 8, 15, 19, 21, 22, 23]",Espero que mi jefe conozca a Paul Farmer porque es mi sueño conocerlo.,Espero que mi jefe conozca [NONE] Paul Farmer porque es mi sueño conocerlo.
184,710,64c9a1c46421e0702712bb9cbca04d3140f971ce05a72ddae0fde0b9e679a8f3,SPA 3,"Sin embargo, es difícil encontrar a personas famosas que son buenos modelos para los niños, ya que por lo general ver gente famosa que se habla en las noticias por equivocarse y por lo general es por un gran error como el asesinato o el abuso de drogas.","Sin embargo, es difícil encontrar  personas famosas que son buenos modelos para los niños, ya que por lo general ver []{a}<az:do:an> gente famosa que se habla en las noticias por equivocarse y por lo general es por un gran error como el asesinato o el abuso de drogas.",[]{a}<az:do:an>,az:do:an,a,,"['Sin', 'embargo', ',', 'es', 'difícil', 'encontrar', 'personas', 'famosas', 'que', 'son', 'buenos', 'modelos', 'para', 'los', 'niños', ',', 'ya', 'que', 'por', 'lo', 'general', 'ver', 'a', 'gente', 'famosa', 'que', 'se', 'habla', 'en', 'las', 'noticias', 'por', 'equivocarse', 'y', 'por', 'lo', 'general', 'es', 'por', 'un', 'gran', 'error', 'como', 'el', 'asesinato', 'o', 'el', 'abuso', 'de', 'drogas', '.']","['Sin', 'embargo', ',', 'es', 'difícil', 'encontrar', 'personas', 'famosas', 'que', 'son', 'buenos', 'modelos', 'para', 'los', 'niños', ',', 'ya', 'que', 'por', 'lo', 'general', 'ver', '[NONE]', 'gente', 'famosa', 'que', 'se', 'habla', 'en', 'las', 'noticias', 'por', 'equivocarse', 'y', 'por', 'lo', 'general', 'es', 'por', 'un', 'gran', 'error', 'como', 'el', 'asesinato', 'o', 'el', 'abuso', 'de', 'drogas', '.']","[22, 74]",article,"[23, 24, 75, 76]","Sin embargo, es difícil encontrar personas famosas que son buenos modelos para los niños, ya que por lo general ver a gente famosa que se habla en las noticias por equivocarse y por lo general es por un gran error como el asesinato o el abuso de drogas.","Sin embargo, es difícil encontrar personas famosas que son buenos modelos para los niños, ya que por lo general ver [NONE] gente famosa que se habla en las noticias por equivocarse y por lo general es por un gran error como el asesinato o el abuso de drogas."
196,723,149366c48a5091f3b71d4dd83093f76d3317ae8f344966577ba0f06cf4f2a005,SPA 1,En 2016 el derrotado Hillary Clinton en los elecciones presidenciales de Estados Unidos.,En 2016 el derrotado []{a}<az:do:an> Hillary Clinton en los elecciones presidenciales de Estados Unidos.,[]{a}<az:do:an>,az:do:an,a,,"['En', '2016', 'el', 'derrotado', 'a', 'Hillary', 'Clinton', 'en', 'los', 'elecciones', 'presidenciales', 'de', 'Estados', 'Unidos', '.']","['En', '2016', 'el', 'derrotado', '[NONE]', 'Hillary', 'Clinton', 'en', 'los', 'elecciones', 'presidenciales', 'de', 'Estados', 'Unidos', '.']","[4, 20]",article,"[5, 6, 7, 21, 22, 23]",En 2016 el derrotado a Hillary Clinton en los elecciones presidenciales de Estados Unidos.,En 2016 el derrotado [NONE] Hillary Clinton en los elecciones presidenciales de Estados Unidos.
200,747,65dc03f7ac5f27b2f1a9046b56b76bf838929071065d2f24669a3452c7d3aeac,SPA 3,"En mi opnion ella es una persona perfecta porque es muy inteligente y prospera, pero usa el dinero para ayudar otras personas que necesitar.","En mi opnion ella es una persona perfecta porque es muy inteligente y prospera, pero usa el dinero para ayudar []{a}<az:do:an> otras personas que necesitar.",[]{a}<az:do:an>,az:do:an,a,,"['En', 'mi', 'opnion', 'ella', 'es', 'una', 'persona', 'perfecta', 'porque', 'es', 'muy', 'inteligente', 'y', 'prospera', ',', 'pero', 'usa', 'el', 'dinero', 'para', 'ayudar', 'a', 'otras', 'personas', 'que', 'necesitar', '.']","['En', 'mi', 'opnion', 'ella', 'es', 'una', 'persona', 'perfecta', 'porque', 'es', 'muy', 'inteligente', 'y', 'prospera', ',', 'pero', 'usa', 'el', 'dinero', 'para', 'ayudar', '[NONE]', 'otras', 'personas', 'que', 'necesitar', '.']","[21, 49]",article,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]","En mi opnion ella es una persona perfecta porque es muy inteligente y prospera, pero usa el dinero para ayudar a otras personas que necesitar.","En mi opnion ella es una persona perfecta porque es muy inteligente y prospera, pero usa el dinero para ayudar [NONE] otras personas que necesitar."
201,749,5c87a3d1cd83b088862cfa54232b8258b5169f0f8f7c7aba8a0ce85513216fcc,SPA 2,"Cuando yo estaba una chica pequena yo quieo bruno mars mucho mas de ahora, pero yo me gusta Bruno Mars todavida.","Cuando yo estaba una chica pequena yo quieo []{a}<az:do:an> bruno mars mucho mas de ahora, pero yo me gusta Bruno Mars todavida.",[]{a}<az:do:an>,az:do:an,a,,"['Cuando', 'yo', 'estaba', 'una', 'chica', 'pequena', 'yo', 'quieo', 'a', 'bruno', 'mars', 'mucho', 'mas', 'de', 'ahora', ',', 'pero', 'yo', 'me', 'gusta', 'Bruno', 'Mars', 'todavida', '.']","['Cuando', 'yo', 'estaba', 'una', 'chica', 'pequena', 'yo', 'quieo', '[NONE]', 'bruno', 'mars', 'mucho', 'mas', 'de', 'ahora', ',', 'pero', 'yo', 'me', 'gusta', 'Bruno', 'Mars', 'todavida', '.']","[8, 33]",article,"[6, 9, 10, 31, 34, 35]","Cuando yo estaba una chica pequena yo quieo a bruno mars mucho mas de ahora, pero yo me gusta Bruno Mars todavida.","Cuando yo estaba una chica pequena yo quieo [NONE] bruno mars mucho mas de ahora, pero yo me gusta Bruno Mars todavida."
224,920,ebb74d6fb89b7d7f9d95b6693ee2189ac6f72bfc8dac0fd860a94cd49b971e7d,SPA 1,Nosotras queremos visitar a muchos parques en todas las ciudades por esta.,Nosotras queremos visitar [a]{}<za:do:inan> muchos parques en todas las ciudades por esta.,[a]{}<za:do:inan>,za:do:inan,,a,"['Nosotras', 'queremos', 'visitar', '[NONE]', 'muchos', 'parques', 'en', 'todas', 'las', 'ciudades', 'por', 'esta', '.']","['Nosotras', 'queremos', 'visitar', 'a', 'muchos', 'parques', 'en', 'todas', 'las', 'ciudades', 'por', 'esta', '.']","[3, 17]",article,"[1, 4, 5, 15, 18, 19]",Nosotras queremos visitar [NONE] muchos parques en todas las ciudades por esta.,Nosotras queremos visitar a muchos parques en todas las ciudades por esta.
269,1080,300984add6b7862e02e6897b44a096d0f5960035f769606a33bdcc899d72da9f,SPA 1,"Por lo tanto, yo tengo que ayuda mi jefe el verano.","Por lo tanto, yo tengo que ayuda []{a}<az:do:an> mi jefe el verano.",[]{a}<az:do:an>,az:do:an,a,,"['Por', 'lo', 'tanto', ',', 'yo', 'tengo', 'que', 'ayuda', 'a', 'mi', 'jefe', 'el', 'verano', '.']","['Por', 'lo', 'tanto', ',', 'yo', 'tengo', 'que', 'ayuda', '[NONE]', 'mi', 'jefe', 'el', 'verano', '.']","[8, 23]",article,"[7, 9, 22, 24]","Por lo tanto, yo tengo que ayuda a mi jefe el verano.","Por lo tanto, yo tengo que ayuda [NONE] mi jefe el verano."
281,1102,35d5f967da28676f15c2d88b8f1a232a4fae58bc715588f9494c041807552fde,SPA 3,"Yo gustaría ver a la venta, y miraría a el rio, las montanas, la agua con los animales, y especialemente los arboles y los flores.","Yo gustaría ver [a]{}<za:do:inan> la venta, y miraría a el rio, las montanas, la agua con los animales, y especialemente los arboles y los flores.",[a]{}<za:do:inan>,za:do:inan,,a,"['Yo', 'gustaría', 'ver', '[NONE]', 'la', 'venta', ',', 'y', 'miraría', 'a', 'el', 'rio', ',', 'las', 'montanas', ',', 'la', 'agua', 'con', 'los', 'animales', ',', 'y', 'especialemente', 'los', 'arboles', 'y', 'los', 'flores', '.']","['Yo', 'gustaría', 'ver', 'a', 'la', 'venta', ',', 'y', 'miraría', 'a', 'el', 'rio', ',', 'las', 'montanas', ',', 'la', 'agua', 'con', 'los', 'animales', ',', 'y', 'especialemente', 'los', 'arboles', 'y', 'los', 'flores', '.']","[3, 34]",article,[],"Yo gustaría ver [NONE] la venta, y miraría a el rio, las montanas, la agua con los animales, y especialemente los arboles y los flores.","Yo gustaría ver a la venta, y miraría a el rio, las montanas, la agua con los animales, y especialemente los arboles y los flores."
309,1178,f746419b70c3b8b78e5d99013182b5115c1fb67aeb4671edeb278db4903f666d,SPA 3,Nosotros visitaríamos mi novia's familia.,Nosotros visitaríamos []{a}<az:do:an> mi novia's familia.,[]{a}<az:do:an>,az:do:an,a,,"['Nosotros', 'visitaríamos', 'a', 'mi', 'novia', ""'"", 's', 'familia', '.']","['Nosotros', 'visitaríamos', '[NONE]', 'mi', 'novia', ""'"", 's', 'familia', '.']","[2, 12]",article,"[0, 1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 15, 16, 17]",Nosotros visitaríamos a mi novia' s familia.,Nosotros visitaríamos [NONE] mi novia' s familia.
334,1241,48a8f00482bd82e869296f18c2b9d37bf79803b9f7949e156c61027668f06b14,SPA 3,"En la semana termino, nosotros visitariamos familia un mas tiempo y iriamos al aeropuerto.","En la semana termino, nosotros visitariamos []{a}<az:do:an> familia un mas tiempo y iriamos al aeropuerto.",[]{a}<az:do:an>,az:do:an,a,,"['En', 'la', 'semana', 'termino', ',', 'nosotros', 'visitariamos', 'a', 'familia', 'un', 'mas', 'tiempo', 'y', 'iriamos', 'al', 'aeropuerto', '.']","['En', 'la', 'semana', 'termino', ',', 'nosotros', 'visitariamos', '[NONE]', 'familia', 'un', 'mas', 'tiempo', 'y', 'iriamos', 'al', 'aeropuerto', '.']","[7, 25]",article,[],"En la semana termino, nosotros visitariamos a familia un mas tiempo y iriamos al aeropuerto.","En la semana termino, nosotros visitariamos [NONE] familia un mas tiempo y iriamos al aeropuerto."
