,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,raw_evidence
264,1056,b790571b70685dfc7b4ee434c623a51b3659fca91e5193af9850da663e5a926f,SPA 2,Yo también me gusta visitar al barrio Japón.,Yo también me gusta visitar [al]{}<za:do:inan> barrio Japón.,[al]{}<za:do:inan>,za:do:inan,,al,"['Yo', 'también', 'me', 'gusta', 'visitar', '[NONE]', 'barrio', 'Japón', '.']","['Yo', 'también', 'me', 'gusta', 'visitar', 'al', 'barrio', 'Japón', '.']","[5, 15]",article,"evidence words = ""visitar"", ""al""
indexes = 4, 5"
375,1611,699ce33a3318bde9cb391eee71584e6a8a4f7e3e6b9f4eb24b0268107a26d724,SPA 1,"También, voy a visitar a la abuela y al abuelo de mi papá.","También, voy a visitar a la abuela [al]{al}<aa:do:an> abuelo de mi papá.",[al]{al}<aa:do:an>,aa:do:an,al,al,"['También', ',', 'voy', 'a', 'visitar', 'a', 'la', 'abuela', 'al', 'abuelo', 'de', 'mi', 'papá', '.']","['También', ',', 'voy', 'a', 'visitar', 'a', 'la', 'abuela', 'al', 'abuelo', 'de', 'mi', 'papá', '.']","[8, 23]",article,"evidence words = ""abuela"", ""al"", ""abuelo""
indexes = 8, 9, 10"
377,1613,8d62c9143953df2e8a7f89f596916a9da28ff7436fee73b7ef7c9e0753334465,SPA 3,Él va a llevarme para visitar a los lugares famosos en el país.,Él va a llevarme para visitar [a]{}<za:do:inan> los lugares famosos en el país.,[a]{}<za:do:inan>,za:do:inan,,a,"['Él', 'va', 'a', 'llevarme', 'para', 'visitar', '[NONE]', 'los', 'lugares', 'famosos', 'en', 'el', 'país', '.']","['Él', 'va', 'a', 'llevarme', 'para', 'visitar', 'a', 'los', 'lugares', 'famosos', 'en', 'el', 'país', '.']","[6, 21]",article,"evidence words = ""a, visitar"",
indexes = ""2, 5"""
392,399,74da67c9cc3e9d1f539367fbe5fe8d9c9f417c66badff10ddc3b8137632b4099,SPA 3,Espero que yo pueda conocer el hombre en la vida real.,Espero que yo pueda conocer [a]{a}<az:do:an> el hombre en la vida real.,[a]{a}<az:do:an>,az:do:an,a,a,"['Espero', 'que', 'yo', 'pueda', 'conocer', 'a', 'el', 'hombre', 'en', 'la', 'vida', 'real', '.']","['Espero', 'que', 'yo', 'pueda', 'conocer', 'a', 'el', 'hombre', 'en', 'la', 'vida', 'real', '.']","[5, 19]",article,"evidence words = ""a"", ""el""
indexes = 6, 7"
393,399,c7c4f7440c6692099bef55de1ad41119eaa42640122cce413809b6314d9d0c3a,SPA 3,"Si yo pudiera conocer a el, yo le preguntaria a el muchas preguntas como, ""como te sientes de ser un actor por todo de su vida y por cuanto mas anos vas a protagonizar en las peliculas?""","Si yo pudiera conocer [a]{a}<az:do:an> el, yo le preguntaria  el muchas preguntas como, ""como te sientes de ser un actor por todo de su vida y por cuanto mas anos vas a protagonizar en las peliculas?""",[a]{a}<az:do:an>,az:do:an,a,a,"['Si', 'yo', 'pudiera', 'conocer', 'a', 'el', ',', 'yo', 'le', 'preguntaria', 'el', 'muchas', 'preguntas', 'como', ',', '""', 'como', 'te', 'sientes', 'de', 'ser', 'un', 'actor', 'por', 'todo', 'de', 'su', 'vida', 'y', 'por', 'cuanto', 'mas', 'anos', 'vas', 'a', 'protagonizar', 'en', 'las', 'peliculas', '?', '""']","['Si', 'yo', 'pudiera', 'conocer', 'a', 'el', ',', 'yo', 'le', 'preguntaria', 'el', 'muchas', 'preguntas', 'como', ',', '""', 'como', 'te', 'sientes', 'de', 'ser', 'un', 'actor', 'por', 'todo', 'de', 'su', 'vida', 'y', 'por', 'cuanto', 'mas', 'anos', 'vas', 'a', 'protagonizar', 'en', 'las', 'peliculas', '?', '""']","[4, 46]",article,"evidence words = a, el
indexes = 4, 5"
397,900,802e4ad5cd57f66325b96955e3383bd5cfaf47b51a9207b7638703cf9cbf7fc8,SPA 2,Incluso regresó a Taiwan para filmar una de sus películas.,Incluso regresó [a]{}<za:do:inan>  Taiwan para filmar una de sus películas.,[a]{}<za:do:inan>,za:do:inan,,a,"['Incluso', 'regresó', '[NONE]', 'Taiwan', 'para', 'filmar', 'una', 'de', 'sus', 'películas', '.']","['Incluso', 'regresó', 'a', 'Taiwan', 'para', 'filmar', 'una', 'de', 'sus', 'películas', '.']","[2, 14]",article,"evidence words = ""regresó"", ""a""
indexes = 1, 2"
458,37,2d10dd99d35965bfb38f09cf93001740ee3e21e1c84cee73134b2a47d85f5658,SPA 3,Ella es un modelo también.,Ella es [un]{una}<ga:fm:det:an> modelo también.,[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['Ella', 'es', 'una', 'modelo', 'también', '.']","['Ella', 'es', 'un', 'modelo', 'también', '.']","[2, 9]",gender agreement,"evidence words = ""es"", ""un"", ""modelo""
indexes = 1, 2, 3"
717,224,e1251ad81b6b43aaea468f7a545f1141fefb350264285f2dcdcbbfacdf4dde1c,SPA 1,Brad Pitt es trabajadora.,Brad Pitt es [trabajadora]{trabajador}<ga:mf:adj:an>.,[trabajadora]{trabajador}<ga:mf:adj:an>,ga:mf:adj:an,trabajador,trabajadora,"['Brad', 'Pitt', 'es', 'trabajador', '.']","['Brad', 'Pitt', 'es', 'trabajadora', '.']","[3, 9]",gender agreement,"evidence words = Brad, Pitt, es, trabajadora
indexes = 0, 1, 2, 3"
803,259,02f46d838a3b27c9935348dd697e4676211950238c6f2b68ef433a586947fbf4,SPA 1,Sus caracter generalmente inteligente y talento.,Sus [caracter]{caracteres}<na:ps:noun:an> generalmente inteligente y talento.,[caracter]{caracteres}<na:ps:noun:an>,na:ps:noun:an,caracteres,caracter,"['Sus', 'caracteres', 'generalmente', 'inteligente', 'y', 'talento', '.']","['Sus', 'caracter', 'generalmente', 'inteligente', 'y', 'talento', '.']","[1, 9]",number agreement,"evidence words = Sus, caracter, generalmente
indexes = 0, 1, 2"
866,295,d65b7ae7b17966387f98fe37dd720db3eff587297bcef32efe02c50f293382aa,SPA 1,Es un poco caro pero la calidad es excelente!,Es un poco [caro]{cara}<ga:fm:adj:inan> pero la calidad es excelente!,[caro]{cara}<ga:fm:adj:inan>,ga:fm:adj:inan,cara,caro,"['Es', 'un', 'poco', 'cara', 'pero', 'la', 'calidad', 'es', 'excelente', '!']","['Es', 'un', 'poco', 'caro', 'pero', 'la', 'calidad', 'es', 'excelente', '!']","[3, 14]",gender agreement,"evidence words = un, poco, cara
indexes = 1, 2, 3"
905,314,06557d16c5d8ff5fb5cf7a04ac03a23697eb1028b0fed22c9a8bc296b0de7703,SPA 2,No tiene ningún nietos.,No tiene ningún [nietos]{nieto}<na:sp:noun:an>.,[nietos]{nieto}<na:sp:noun:an>,na:sp:noun:an,nieto,nietos,"['No', 'tiene', 'ningún', 'nieto', '.']","['No', 'tiene', 'ningún', 'nietos', '.']","[3, 9]",number agreement,"evidence words = ""ningún"", ""nietos""
indexes = 2, 3"
44,388,ec7332f71626a777818025d3969b189b91ba6be66955b7294ae606bf0b09644e,SPA 3,Estoy emocionado de ver lo que mi futuro sostiene,Estoy [emocionado]{emocionada}<ga:fm:adj:an> de ver lo que mi futuro sostiene,[emocionado]{emocionada}<ga:fm:adj:an>,ga:fm:adj:an,emocionada,emocionado,"['Estoy', 'emocionada', 'de', 'ver', 'lo', 'que', 'mi', 'futuro', 'sostiene']","['Estoy', 'emocionado', 'de', 'ver', 'lo', 'que', 'mi', 'futuro', 'sostiene']","[1, 11]",gender agreement,"evidence words = ""Estoy"", ""emocionado""
indexes = 0, 1"
326,658,cf8c0d5330c300fad4bbdde58be9da7090b5529b0e4ba729dd3e2adfdf8fb554,SPA 3,Él tiene marrones pelo y marrones ojos.,Él tiene [marrones]{marrón}<na:sp:adj:inan> pelo y marrones ojos.,[marrones]{marrón}<na:sp:adj:inan>,na:sp:adj:inan,marrón,marrones,"['Él', 'tiene', 'marrón', 'pelo', 'y', 'marrones', 'ojos', '.']","['Él', 'tiene', 'marrones', 'pelo', 'y', 'marrones', 'ojos', '.']","[2, 11]",number agreement,"evidence words = 'tiene', 'marrones', 'pelo', 'y', 'marrones', 'ojos'
indexes = 1, 2, 3, 4, 5, 6"
436,737,55e6de30e0791ee9b3fafa07812b4439d5b35d84fa716842bd93a75f4f19864d,SPA 3,"Recientemente, el gano uno des los premios mas conocidos ""Walter Peyton Man of the Year"" El gano este premio por que ayudo a las víctimas del huracán Harvey y junto mas de 6 millones para ellos.","Recientemente, el gano uno des los premios mas conocidos ""Walter Peyton Man of the Year"" El gano este premio por que ayudo a las víctimas del huracán Harvey y junto mas de 6 millones para [ellos]{ellas}<ga:fm:pron:an>.",[ellos]{ellas}<ga:fm:pron:an>,ga:fm:pron:an,ellas,ellos,"['Recientemente', ',', 'el', 'gano', 'uno', 'des', 'los', 'premios', 'mas', 'conocidos', '""', 'Walter', 'Peyton', 'Man', 'of', 'the', 'Year', '""', 'El', 'gano', 'este', 'premio', 'por', 'que', 'ayudo', 'a', 'las', 'víctimas', 'del', 'huracán', 'Harvey', 'y', 'junto', 'mas', 'de', '6', 'millones', 'para', 'ellas', '.']","['Recientemente', ',', 'el', 'gano', 'uno', 'des', 'los', 'premios', 'mas', 'conocidos', '""', 'Walter', 'Peyton', 'Man', 'of', 'the', 'Year', '""', 'El', 'gano', 'este', 'premio', 'por', 'que', 'ayudo', 'a', 'las', 'víctimas', 'del', 'huracán', 'Harvey', 'y', 'junto', 'mas', 'de', '6', 'millones', 'para', 'ellos', '.']","[38, 79]",gender agreement,"evidence words = ""las víctimas"", ""ellos""
indexes = 26, 27, 41"
570,861,3badb4ea195c5f1e6934956b8b29c2a6ae993d301bfa5f0035da9f0712176907,SPA 2,Ella quire que no sean timidos y hagan lo que quieran.,Ella quire que no sean [timidos]{tímidas}<ga:fm:adj:an>  y hagan lo que quieran.,[timidos]{tímidas}<ga:fm:adj:an>,ga:fm:adj:an,tímidas,timidos,"['Ella', 'quire', 'que', 'no', 'sean', 'tímidas', 'y', 'hagan', 'lo', 'que', 'quieran', '.']","['Ella', 'quire', 'que', 'no', 'sean', 'timidos', 'y', 'hagan', 'lo', 'que', 'quieran', '.']","[5, 18]",gender agreement,"evidence words = Ella, sean, timidos
indexes = 0, 4, 6"
581,875,81f6cc241e21349a7c424344b4fd9ba503e8716cb53b766ea01e4eb6db12ae4d,SPA 2,Espero estar menos avergonzado cantando en el futuro.,Espero estar menos [avergonzado]{avergonzada}<ga:fm:adj:an> cantando en el futuro.,[avergonzado]{avergonzada}<ga:fm:adj:an>,ga:fm:adj:an,avergonzada,avergonzado,"['Espero', 'estar', 'menos', 'avergonzada', 'cantando', 'en', 'el', 'futuro', '.']","['Espero', 'estar', 'menos', 'avergonzado', 'cantando', 'en', 'el', 'futuro', '.']","[3, 13]",gender agreement,"evidence words = avergonzado, estar
indexes = 3,1"
795,1046,43a66f98a916fafbee82460c7b3ad1a29e09f9c4ae59554a40e5d4e3edb6491e,SPA 2,Yo compro un vestido de boda en la tienda de ropa en Francia porque las ropas es muy bonita.,Yo compro un vestido de boda en la tienda de ropa en Francia porque las ropas es muy [bonita]{bonitas}<na:ps:adj:inan>.,[bonita]{bonitas}<na:ps:adj:inan>,na:ps:adj:inan,bonitas,bonita,"['Yo', 'compro', 'un', 'vestido', 'de', 'boda', 'en', 'la', 'tienda', 'de', 'ropa', 'en', 'Francia', 'porque', 'las', 'ropas', 'es', 'muy', 'bonitas', '.']","['Yo', 'compro', 'un', 'vestido', 'de', 'boda', 'en', 'la', 'tienda', 'de', 'ropa', 'en', 'Francia', 'porque', 'las', 'ropas', 'es', 'muy', 'bonita', '.']","[18, 39]",number agreement,"evidence words = ropas, es, bonita
indexes = 19, 20, 23"
843,1078,9dbbf9ba69eb0e8626336028644d636e2fde01cf8a41c6a5ebde8ec2abd48def,SPA 1,"Yo quiero ir en el calor y tomar en sol, por que ahora mismo yo estoy muy palido.","Yo quiero ir en el calor y tomar en sol, por que ahora mismo yo estoy muy [palido]{pálida}<ga:fm:adj:an>.",[palido]{pálida}<ga:fm:adj:an>,ga:fm:adj:an,pálida,palido,"['Yo', 'quiero', 'ir', 'en', 'el', 'calor', 'y', 'tomar', 'en', 'sol', ',', 'por', 'que', 'ahora', 'mismo', 'yo', 'estoy', 'muy', 'pálida', '.']","['Yo', 'quiero', 'ir', 'en', 'el', 'calor', 'y', 'tomar', 'en', 'sol', ',', 'por', 'que', 'ahora', 'mismo', 'yo', 'estoy', 'muy', 'palido', '.']","[18, 39]",gender agreement,"evidence words = ""yo"", ""estoy"",
indexes = 0, 15."
844,1078,146e84fb41be9ca4e0b9459fb61ebba1070be6437abad9c73282b54d3a942a1e,SPA 1,Tambien sera una oprtunidad para que yo practique mi griego con otros personas.,Tambien sera una oprtunidad para que yo practique mi griego con [otros]{otras}<ga:fm:det:an> personas.,[otros]{otras}<ga:fm:det:an>,ga:fm:det:an,otras,otros,"['Tambien', 'sera', 'una', 'oprtunidad', 'para', 'que', 'yo', 'practique', 'mi', 'griego', 'con', 'otras', 'personas', '.']","['Tambien', 'sera', 'una', 'oprtunidad', 'para', 'que', 'yo', 'practique', 'mi', 'griego', 'con', 'otros', 'personas', '.']","[11, 26]",gender agreement,"evidence words = sera, una, oportunidad, practique, mi, griego, con, otros, personas
indexes = 1, 2, 3, 9, 10, 11, 12, 13, 14"
105,1218,c81fd0b4ab4e4a820a52561da2c51f8ab01cecc8dfb3ebfe49890af11051e184,SPA 1,"Y esto seria mis vacaciones perfectas porque
estaria rodeado por la gente que amo junto con los paises/estados hermosos.","Y [esto]{estas}<ga:na:fm:ps:pron:inan> seria mis vacaciones perfectas porque
estaria rodeado por la gente que amo junto con los paises/estados hermosos.",[esto]{estas}<ga:na:fm:ps:pron:inan>,ga:na:fm:ps:pron:inan,estas,esto,"['Y', 'estas', 'seria', 'mis', 'vacaciones', 'perfectas', 'porque', 'estaria', 'rodeado', 'por', 'la', 'gente', 'que', 'amo', 'junto', 'con', 'los', 'paises', '/', 'estados', 'hermosos', '.']","['Y', 'esto', 'seria', 'mis', 'vacaciones', 'perfectas', 'porque', 'estaria', 'rodeado', 'por', 'la', 'gente', 'que', 'amo', 'junto', 'con', 'los', 'paises', '/', 'estados', 'hermosos', '.']","[1, 24]",gender and number agreement,"evidence words = estas, vacaciones
indexes = 1, 4"
304,1349,d7487a763320aae7283329f05ef377965f729cd5929b0685c5e1369948461d54,SPA 3,"A menudo comer y anhelar comida japonesa en *CITY*, sin embargo, puede ser caro.","A menudo comer y anhelar comida japonesa en *CITY*, sin embargo, puede ser [caro]{cara}<ga:fm:adj:inan>.",[caro]{cara}<ga:fm:adj:inan>,ga:fm:adj:inan,cara,caro,"['A', 'menudo', 'comer', 'y', 'anhelar', 'comida', 'japonesa', 'en', '*', 'CITY', '*', ',', 'sin', 'embargo', ',', 'puede', 'ser', 'cara', '.']","['A', 'menudo', 'comer', 'y', 'anhelar', 'comida', 'japonesa', 'en', '*', 'CITY', '*', ',', 'sin', 'embargo', ',', 'puede', 'ser', 'caro', '.']","[17, 37]",gender agreement,"evidence words = comida , caro
indexes = 6 , 17"
584,1595,7628e929fa0643de096cb19a27db8738dae45a3cae912df73ca2583bbb9c5d42,SPA 3,"Quiero visito un pub con amigos, y conocía nuevo amigos.","Quiero visito un pub con amigos, y conocía [nuevo]{nuevos}<na:ps:adj:an> amigos.",[nuevo]{nuevos}<na:ps:adj:an>,na:ps:adj:an,nuevos,nuevo,"['Quiero', 'visito', 'un', 'pub', 'con', 'amigos', ',', 'y', 'conocía', 'nuevos', 'amigos', '.']","['Quiero', 'visito', 'un', 'pub', 'con', 'amigos', ',', 'y', 'conocía', 'nuevo', 'amigos', '.']","[9, 22]",number agreement,"evidence words = ""conocía"", ""nuevo"", ""amigos""
indexes = 11, 12, 13"
600,1613,00973fe27bbd46127eddb36739f1ccc40a64030ce54fce0d9afde8891a8978ae,SPA 3,Espero que ellos me diga sobre la historia de mi familia y porque ellos llegaron en Gran Bretaña mientras mis padres y yo llegamos en el E.E.U.U.,Espero que ellos me diga sobre la historia de mi familia y porque ellos llegaron en Gran Bretaña mientras mis padres y yo llegamos en [el]{los}<na:ps:det:inan> E.E.U.U.,[el]{los}<na:ps:det:inan>,na:ps:det:inan,los,el,"['Espero', 'que', 'ellos', 'me', 'diga', 'sobre', 'la', 'historia', 'de', 'mi', 'familia', 'y', 'porque', 'ellos', 'llegaron', 'en', 'Gran', 'Bretaña', 'mientras', 'mis', 'padres', 'y', 'yo', 'llegamos', 'en', 'los', 'E', '.', 'E', '.', 'U', '.', 'U', '.']","['Espero', 'que', 'ellos', 'me', 'diga', 'sobre', 'la', 'historia', 'de', 'mi', 'familia', 'y', 'porque', 'ellos', 'llegaron', 'en', 'Gran', 'Bretaña', 'mientras', 'mis', 'padres', 'y', 'yo', 'llegamos', 'en', 'el', 'E', '.', 'E', '.', 'U', '.', 'U', '.']","[25, 60]",number agreement,"evidence words = el, E , E , U , U 
indexes = 27, 28, 29, 30, 31, 32"
611,1621,6c57cc50a243bd18965ef2b52d098f5d3940410f50d58561b2b6801a1fe3a3f7,SPA 3,"Los bosques en Costa Rica miran muy bonitas en fotos, y no puedo imaginar como las bonitas en persona.","Los bosques en Costa Rica miran muy [bonitas]{bonitos}<ga:mf:adj:inan> en fotos, y no puedo imaginar como las bonitas en persona.",[bonitas]{bonitos}<ga:mf:adj:inan>,ga:mf:adj:inan,bonitos,bonitas,"['Los', 'bosques', 'en', 'Costa', 'Rica', 'miran', 'muy', 'bonitos', 'en', 'fotos', ',', 'y', 'no', 'puedo', 'imaginar', 'como', 'las', 'bonitas', 'en', 'persona', '.']","['Los', 'bosques', 'en', 'Costa', 'Rica', 'miran', 'muy', 'bonitas', 'en', 'fotos', ',', 'y', 'no', 'puedo', 'imaginar', 'como', 'las', 'bonitas', 'en', 'persona', '.']","[7, 29]",gender agreement,"evidence words = Los, bosques, bonitas
indexes = 0, 1, 11"
789,385,15fd3ba3c68bdf89f2957bf0fe5640380263daf35b5d52fb5efa81fedaa56909,SPA 2,Tienen toda musica en Youtube de todo gente puede escuchar y tienen siste milion subscribers.,Tienen toda musica en Youtube de [todo]{toda}<ga:fm:det:an> gente puede escuchar y tienen siste milion subscribers.,[todo]{toda}<ga:fm:det:an>,ga:fm:det:an,toda,todo,"['Tienen', 'toda', 'musica', 'en', 'Youtube', 'de', 'toda', 'gente', 'puede', 'escuchar', 'y', 'tienen', 'siste', 'milion', 'subscribers', '.']","['Tienen', 'toda', 'musica', 'en', 'Youtube', 'de', 'todo', 'gente', 'puede', 'escuchar', 'y', 'tienen', 'siste', 'milion', 'subscribers', '.']","[6, 23]",gender agreement,"evidence words = ""todo"", ""gente"" 
indexes = 6, 7."
97,183,f4d9af8d2cedebb8d673330286e977461e4d26d754514d1853a83926ce78d61a,SPA 3,Su las películas y las programas de televisión son popular.,"[Su]{sus}<na:ps:det:inan> las películas y [las]{los}<ga:mf:det:aty:inan> programas de televisión son [popular]{populares}<na:ps:adj:inan>.""",[Su]{sus}<na:ps:det:inan>,na:ps:det:inan,sus,Su,"['sus', 'las', 'películas', 'y', 'los', 'programas', 'de', 'televisión', 'son', 'populares', '.', '""']","['Su', 'las', 'películas', 'y', 'los', 'programas', 'de', 'televisión', 'son', 'populares', '.', '""']","[0, 13]",number agreement,"evidence words = Su, películas
indexes = 0, 1"
