,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type,source_sentence,raw_evidence
704,1181,8f00619aa2e1db500f86217a511de43acaf31b9de2c056ec783b33c40ac7246c,SPA 1,"Mi favorita programa de televisión es ESPN, pero mis padres gusta mirar telenovela.","Mi [favorita]{favorito}<ga:mf:adj:aty:inan> programa de televisión es ESPN, pero mis padres gusta mirar telenovela.",1,[favorita]{favorito}<ga:mf:adj:aty:inan>,0,ga:mf:adj:aty:inan,favorito,favorita,"['Mi', 'favorito', 'programa', 'de', 'televisión', 'es', 'ESPN', ',', 'pero', 'mis', 'padres', 'gusta', 'mirar', 'telenovela', '.']","[1, 17]",ga:mf:adj:aty,"['Mi', 'favorita', 'programa', 'de', 'televisión', 'es', 'ESPN', ',', 'pero', 'mis', 'padres', 'gusta', 'mirar', 'telenovela', '.']",gender agreement,"Mi favorita programa de televisión es ESPN , pero mis padres gusta mirar telenovela .","evidence words = ""Mi"", ""favorita"", ""programa""
indexes = 0, 1, 2"
705,1184,7b41e36383102cfa3e7d46f19382af6d0bcc5047c0f4775ef65648fee2c1458d,SPA 2,Mis vacaciones ideal sería traipsing a través de Europa con mi madre.,Mis vacaciones [ideal]{ideales}<na:ps:adj:inan> sería traipsing a través de Europa con mi madre.,1,[ideal]{ideales}<na:ps:adj:inan>,0,na:ps:adj:inan,ideales,ideal,"['Mis', 'vacaciones', 'ideales', 'sería', 'traipsing', 'a', 'través', 'de', 'Europa', 'con', 'mi', 'madre', '.']","[2, 16]",na:ps,"['Mis', 'vacaciones', 'ideal', 'sería', 'traipsing', 'a', 'través', 'de', 'Europa', 'con', 'mi', 'madre', '.']",number agreement,Mis vacaciones ideal sería traipsing a través de Europa con mi madre .,"evidence words = Mis, vacaciones, ideal
indexes = 0, 1, 2"
706,1185,12b7704e0c1f1852bccf812eb1af5bd2f523544d98f4e14d60249fab33d5a8d8,SPA 2,Yo voy a viajar en la avión en la clase primera porque tiene mucho espacio.,Yo voy a viajar en [la]{el}<ga:mf:det:inan> avión en la clase primera porque tiene mucho espacio.,1,[la]{el}<ga:mf:det:inan>,0,ga:mf:det:inan,el,la,"['Yo', 'voy', 'a', 'viajar', 'en', 'el', 'avión', 'en', 'la', 'clase', 'primera', 'porque', 'tiene', 'mucho', 'espacio', '.']","[5, 22]",ga:mf,"['Yo', 'voy', 'a', 'viajar', 'en', 'la', 'avión', 'en', 'la', 'clase', 'primera', 'porque', 'tiene', 'mucho', 'espacio', '.']",gender agreement,Yo voy a viajar en la avión en la clase primera porque tiene mucho espacio .,"evidence words = avión, la, 
indexes = 6, 7"
706,1185,1a28f748740fe3b9a5b7cb3fd1b5a0c9a75528d2d111b97eaae16c071f834d2e,SPA 2,El veulvo e muy larga y yo esparanzo dormer por mas.,El veulvo e muy [larga]{largo}<ga:mf:adj:inan> y yo esparanzo dormer por mas.,1,[larga]{largo}<ga:mf:adj:inan>,0,ga:mf:adj:inan,largo,larga,"['El', 'veulvo', 'e', 'muy', 'largo', 'y', 'yo', 'esparanzo', 'dormer', 'por', 'mas', '.']","[4, 17]",ga:mf,"['El', 'veulvo', 'e', 'muy', 'larga', 'y', 'yo', 'esparanzo', 'dormer', 'por', 'mas', '.']",gender agreement,El veulvo e muy larga y yo esparanzo dormer por mas .,"evidence words = ""muy"", ""larga"", 
indexes = 4, 5"
706,1185,b321957da6323d61068c29a09d59d7f7518e5ffae7e24d2f9a26f0692ec14208,SPA 2,En Ingleterra yo quiero comer pescado freído y papas fritas con una cerveza en un taberna.,En Ingleterra yo quiero comer pescado freído y papas fritas con una cerveza en [un]{una}<ga:fm:det:inan> taberna.,1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['En', 'Ingleterra', 'yo', 'quiero', 'comer', 'pescado', 'freído', 'y', 'papas', 'fritas', 'con', 'una', 'cerveza', 'en', 'una', 'taberna', '.']","[14, 32]",ga:fm,"['En', 'Ingleterra', 'yo', 'quiero', 'comer', 'pescado', 'freído', 'y', 'papas', 'fritas', 'con', 'una', 'cerveza', 'en', 'un', 'taberna', '.']",gender agreement,En Ingleterra yo quiero comer pescado freído y papas fritas con una cerveza en un taberna .,"evidence words = una, taberna
indexes = 17, 19"
706,1185,701030561dbe6f39fe59d31fc4b32e6e9a61d8f314f93354a3d8378ffa8df772,SPA 2,Yo quiro remo en la gondola en Venice y vistito la museos.,Yo quiro remo en la gondola en Venice y vistito [la]{los}<ga:na:mf:ps:det:inan> museos.,1,[la]{los}<ga:na:mf:ps:det:inan>,0,ga:na:mf:ps:det:inan,los,la,"['Yo', 'quiro', 'remo', 'en', 'la', 'gondola', 'en', 'Venice', 'y', 'vistito', 'los', 'museos', '.']","[10, 24]",ga:na:mf:ps,"['Yo', 'quiro', 'remo', 'en', 'la', 'gondola', 'en', 'Venice', 'y', 'vistito', 'la', 'museos', '.']",gender and number agreement,Yo quiro remo en la gondola en Venice y vistito la museos .,"evidence words = ""vistito"", ""la"", ""museos""
indexes = 8, 9, 10"
706,1185,38e4d93ca5372676a0627460fd5ce9f6a0f295204bb6c3d9ce613c24551da151,SPA 2,En Irlanda yo quiro visitar la cervecería de Guiness porque es mi cerveca farvorito.,En Irlanda yo quiro visitar la cervecería de Guiness porque es mi cerveca [farvorito]{favorita}<ga:fm:adj:inan>.,1,[farvorito]{favorita}<ga:fm:adj:inan>,0,ga:fm:adj:inan,favorita,farvorito,"['En', 'Irlanda', 'yo', 'quiro', 'visitar', 'la', 'cervecería', 'de', 'Guiness', 'porque', 'es', 'mi', 'cerveca', 'favorita', '.']","[13, 29]",ga:fm,"['En', 'Irlanda', 'yo', 'quiro', 'visitar', 'la', 'cervecería', 'de', 'Guiness', 'porque', 'es', 'mi', 'cerveca', 'farvorito', '.']",gender agreement,En Irlanda yo quiro visitar la cervecería de Guiness porque es mi cerveca farvorito .,"evidence words = farvorito, cerveca
indexes = 18, 16"
706,1185,2f9908082062d3b799999e2ca9f4afc3aecc74ca3144648befc9f6a5e682e327,SPA 2,En Francia yo quiero comer muchas queso francés.,En Francia yo quiero comer [muchas]{mucho}<ga:na:mf:sp:det:inan> queso francés.,1,[muchas]{mucho}<ga:na:mf:sp:det:inan>,0,ga:na:mf:sp:det:inan,mucho,muchas,"['En', 'Francia', 'yo', 'quiero', 'comer', 'mucho', 'queso', 'francés', '.']","[5, 15]",ga:na:mf:sp,"['En', 'Francia', 'yo', 'quiero', 'comer', 'muchas', 'queso', 'francés', '.']",gender and number agreement,En Francia yo quiero comer muchas queso francés .,"evidence words = ""quiero"", ""comer"", ""muchas"", ""queso""
indexes = 3, 4, 5, 6"
706,1185,6815238bb479281f2a24f7801e2e82cc7511e87fa660f9e71e9e48839ba10299,SPA 2,Yo quiero andar debajo de el Torre Eiffel y visitar muchas museos de arte.,Yo quiero andar debajo de el Torre Eiffel y visitar [muchas]{muchos}<ga:mf:det:inan> museos de arte.,1,[muchas]{muchos}<ga:mf:det:inan>,0,ga:mf:det:inan,muchos,muchas,"['Yo', 'quiero', 'andar', 'debajo', 'de', 'el', 'Torre', 'Eiffel', 'y', 'visitar', 'muchos', 'museos', 'de', 'arte', '.']","[10, 26]",ga:mf,"['Yo', 'quiero', 'andar', 'debajo', 'de', 'el', 'Torre', 'Eiffel', 'y', 'visitar', 'muchas', 'museos', 'de', 'arte', '.']",gender agreement,Yo quiero andar debajo de el Torre Eiffel y visitar muchas museos de arte .,"evidence words = ""visitar"", ""muchas"", ""museos""
indexes = 9, 10, 11"
707,1186,266239f2799a726e040093b828b5e70aa9364ef5bae68222e5233bd0718f3e08,SPA 2,Yo voy a comer pan tostado con huevos revueltos o hueves estrellados.,Yo voy a comer pan tostado con huevos revueltos o [hueves]{huevos}<ig:e:noun:inan> estrellados.,1,[hueves]{huevos}<ig:e:noun:inan>,0,ig:e:noun:inan,huevos,hueves,"['Yo', 'voy', 'a', 'comer', 'pan', 'tostado', 'con', 'huevos', 'revueltos', 'o', 'huevos', 'estrellados', '.']","[10, 24]",ig:e,"['Yo', 'voy', 'a', 'comer', 'pan', 'tostado', 'con', 'huevos', 'revueltos', 'o', 'hueves', 'estrellados', '.']",gender agreement,Yo voy a comer pan tostado con huevos revueltos o hueves estrellados .,"evidence words = hueves, estrellados
indexes = 10, 11"
707,1186,1d475cc70be0ab53bf1c4383f3269829098ad5fa61596dd4bef57e58cb9d1e3f,SPA 2,"Despues de comer, yo voy a caminar en la parque con mis amigos por dos horas.","Despues de comer, yo voy a caminar en [la]{el}<ga:mf:det:inan> parque con mis amigos por dos horas.",1,[la]{el}<ga:mf:det:inan>,0,ga:mf:det:inan,el,la,"['Despues', 'de', 'comer', ',', 'yo', 'voy', 'a', 'caminar', 'en', 'el', 'parque', 'con', 'mis', 'amigos', 'por', 'dos', 'horas', '.']","[9, 28]",ga:mf,"['Despues', 'de', 'comer', ',', 'yo', 'voy', 'a', 'caminar', 'en', 'la', 'parque', 'con', 'mis', 'amigos', 'por', 'dos', 'horas', '.']",gender agreement,"Despues de comer , yo voy a caminar en la parque con mis amigos por dos horas .","evidence words = ""en"", ""la"", ""parque""
indexes = 7, 8, 9"
707,1186,31829f5f0042d0dc5275cde2820893f3718abab7ba534b39e033a2f4d3ecac10,SPA 2,Mis favoritas peliculas son estos con Mr.,Mis favoritas peliculas son [estos]{estas}<ga:fm:pron:inan> con Mr.,1,[estos]{estas}<ga:fm:pron:inan>,0,ga:fm:pron:inan,estas,estos,"['Mis', 'favoritas', 'peliculas', 'son', 'estas', 'con', 'Mr', '.']","[4, 13]",ga:fm,"['Mis', 'favoritas', 'peliculas', 'son', 'estos', 'con', 'Mr', '.']",gender agreement,Mis favoritas peliculas son estos con Mr .,"evidence words = ""favoritas"", ""peliculas"", ""estos""
indexes = 1, 2, 5"
707,1186,d64a6bf4bcf66a0df47d5b404723d7917501a2afde50e7578146420b21a61ae9,SPA 2,"Durante veyendo la pelicula, yo voy a comer hamburguesa vegetariano.","Durante veyendo la pelicula, yo voy a comer hamburguesa [vegetariano]{vegetariana}<ga:fm:adj:inan>.",1,[vegetariano]{vegetariana}<ga:fm:adj:inan>,0,ga:fm:adj:inan,vegetariana,vegetariano,"['Durante', 'veyendo', 'la', 'pelicula', ',', 'yo', 'voy', 'a', 'comer', 'hamburguesa', 'vegetariana', '.']","[10, 23]",ga:fm,"['Durante', 'veyendo', 'la', 'pelicula', ',', 'yo', 'voy', 'a', 'comer', 'hamburguesa', 'vegetariano', '.']",gender agreement,"Durante veyendo la pelicula , yo voy a comer hamburguesa vegetariano .","evidence words = ""comer"", ""hamburguesa"", ""vegetariano""
indexes = 7, 8, 9"
707,1186,09534e6d99660dc329d1f1fb76d5ba599332f95489a2255df9afcc00334d8ccb,SPA 2,Yo me relarjo en sus casa y hable con mis padres.,Yo me relarjo en [sus]{su}<na:sp:det:inan> casa y hable con mis padres.,1,[sus]{su}<na:sp:det:inan>,0,na:sp:det:inan,su,sus,"['Yo', 'me', 'relarjo', 'en', 'su', 'casa', 'y', 'hable', 'con', 'mis', 'padres', '.']","[4, 17]",na:sp,"['Yo', 'me', 'relarjo', 'en', 'sus', 'casa', 'y', 'hable', 'con', 'mis', 'padres', '.']",number agreement,Yo me relarjo en sus casa y hable con mis padres .,"evidence words = ""en"", ""sus"", ""casa""
indexes = 3, 4, 5"
707,1186,7e594e45703d2483b5631dd4f505d219700c3eee376e27c40179105887216b02,SPA 2,"A la casa de mis padres, mi mama va a hacer una cena muy delicioso.","A la casa de mis padres, mi mama va a hacer una cena muy [delicioso]{deliciosa}<ga:fm:adj:inan>.",1,[delicioso]{deliciosa}<ga:fm:adj:inan>,0,ga:fm:adj:inan,deliciosa,delicioso,"['A', 'la', 'casa', 'de', 'mis', 'padres', ',', 'mi', 'mama', 'va', 'a', 'hacer', 'una', 'cena', 'muy', 'deliciosa', '.']","[15, 33]",ga:fm,"['A', 'la', 'casa', 'de', 'mis', 'padres', ',', 'mi', 'mama', 'va', 'a', 'hacer', 'una', 'cena', 'muy', 'delicioso', '.']",gender agreement,"A la casa de mis padres , mi mama va a hacer una cena muy delicioso .","evidence words = una, cena, delicioso
indexes = 10, 11, 14"
707,1186,4b9f98c86274a50d4628351ddbe29c0a4ffe43d0627d90d426c3a63d65ee02ba,SPA 2,"Mucho tiempo, mi vacacion perfecta es a nadar en Hawai o ir de excursión en Europa.","Mucho tiempo, mi [vacacion]{vacaciones}<in:s:noun:inan> perfecta es a nadar en Hawai o ir de excursión en Europa.",1,[vacacion]{vacaciones}<in:s:noun:inan>,0,in:s:noun:inan,vacaciones,vacacion,"['Mucho', 'tiempo', ',', 'mi', 'vacaciones', 'perfecta', 'es', 'a', 'nadar', 'en', 'Hawai', 'o', 'ir', 'de', 'excursión', 'en', 'Europa', '.']","[4, 23]",in:s,"['Mucho', 'tiempo', ',', 'mi', 'vacacion', 'perfecta', 'es', 'a', 'nadar', 'en', 'Hawai', 'o', 'ir', 'de', 'excursión', 'en', 'Europa', '.']",number agreement,"Mucho tiempo , mi vacacion perfecta es a nadar en Hawai o ir de excursión en Europa .","evidence words = ""mi"", ""vacacion""
indexes = 2, 3"
707,1186,ddc5a9f24e180b5e0d98a19316c99327ad356f6240a8fc138246ec79e0efd643,SPA 2,Pero yo soy estudiante y viajar a otras países es muy costoso.,Pero yo soy estudiante y viajar a [otras]{otros}<ga:mf:det:inan> países es muy costoso.,1,[otras]{otros}<ga:mf:det:inan>,0,ga:mf:det:inan,otros,otras,"['Pero', 'yo', 'soy', 'estudiante', 'y', 'viajar', 'a', 'otros', 'países', 'es', 'muy', 'costoso', '.']","[7, 21]",ga:mf,"['Pero', 'yo', 'soy', 'estudiante', 'y', 'viajar', 'a', 'otras', 'países', 'es', 'muy', 'costoso', '.']",gender agreement,Pero yo soy estudiante y viajar a otras países es muy costoso .,"evidence words = ""viajar a otras países"", indexes = ""5, 6, 7, 8"""
707,1186,075fda3d3d55b5a2e7fd9e5c0ec029a1d70bf3f85e5808beec0995b0c7c84b8e,SPA 2,"Hoy, yo prefiero solamente una dia para me relajo.","Hoy, yo prefiero solamente [una]{un}<ga:mf:det:aty:inan> dia para me relajo.",1,[una]{un}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,un,una,"['Hoy', ',', 'yo', 'prefiero', 'solamente', 'un', 'dia', 'para', 'me', 'relajo', '.']","[5, 17]",ga:mf:det:aty,"['Hoy', ',', 'yo', 'prefiero', 'solamente', 'una', 'dia', 'para', 'me', 'relajo', '.']",gender agreement,"Hoy , yo prefiero solamente una dia para me relajo .","evidence words = ""prefiero"", ""una"", ""dia""
indexes = 2, 4, 5"
707,1186,6c80075881685d47e1a54cc4ead9a87fd402ed33459018b64d9cba09570760e7,SPA 2,"Tal vez otro dia, yo voy a otras países pero hoy no quiero viajar muy lejos de California.","Tal vez otro dia, yo voy a [otras]{otros}<ga:mf:det:inan> países pero hoy no quiero viajar muy lejos de California.",1,[otras]{otros}<ga:mf:det:inan>,0,ga:mf:det:inan,otros,otras,"['Tal', 'vez', 'otro', 'dia', ',', 'yo', 'voy', 'a', 'otros', 'países', 'pero', 'hoy', 'no', 'quiero', 'viajar', 'muy', 'lejos', 'de', 'California', '.']","[8, 29]",ga:mf,"['Tal', 'vez', 'otro', 'dia', ',', 'yo', 'voy', 'a', 'otras', 'países', 'pero', 'hoy', 'no', 'quiero', 'viajar', 'muy', 'lejos', 'de', 'California', '.']",gender agreement,"Tal vez otro dia , yo voy a otras países pero hoy no quiero viajar muy lejos de California .","evidence words = ""voy a otras países""
indexes = [5, 6, 7, 8]"
708,1187,d1e8e070bd3d439b0d6d44664c03e015eb017cf794211ac32027719b2e494fb4,SPA 3,Nunca los he visto antes.,Nunca [los]{la}<ga:na:fm:sp:pron:inan> he visto antes.,1,[los]{la}<ga:na:fm:sp:pron:inan>,0,ga:na:fm:sp:pron:inan,la,los,"['Nunca', 'la', 'he', 'visto', 'antes', '.']","[1, 8]",ga:na:fm:sp,"['Nunca', 'los', 'he', 'visto', 'antes', '.']",gender and number agreement,Nunca los he visto antes .,"evidence words = ""los"", ""visto""
indexes = 1, 3"
709,1188,a0000f35a2c8c36abd23b4dce122dbb2a4305686961f83a8486d4fb8418d67d1,SPA 2,La nueva comida es mi favorito.,La nueva comida es mi [favorito]{favorita}<ga:fm:adj:inan>.,1,[favorito]{favorita}<ga:fm:adj:inan>,0,ga:fm:adj:inan,favorita,favorito,"['La', 'nueva', 'comida', 'es', 'mi', 'favorita', '.']","[5, 13]",ga:fm,"['La', 'nueva', 'comida', 'es', 'mi', 'favorito', '.']",gender agreement,La nueva comida es mi favorito .,"evidence words = ""comida"", ""favorito""
indexes = 2, 6"
709,1188,0d7e09f9a5094ad0be837ea18c7e76913a572d2745d21114b1bcc999722873a6,SPA 2,Es bueno si la comida tiene el pollo o los papas fritas o buenos vegetales y arroz.,Es bueno si la comida tiene el pollo o [los]{las}<ga:fm:det:inan> papas fritas o buenos vegetales y arroz.,1,[los]{las}<ga:fm:det:inan>,0,ga:fm:det:inan,las,los,"['Es', 'bueno', 'si', 'la', 'comida', 'tiene', 'el', 'pollo', 'o', 'las', 'papas', 'fritas', 'o', 'buenos', 'vegetales', 'y', 'arroz', '.']","[9, 28]",ga:fm,"['Es', 'bueno', 'si', 'la', 'comida', 'tiene', 'el', 'pollo', 'o', 'los', 'papas', 'fritas', 'o', 'buenos', 'vegetales', 'y', 'arroz', '.']",gender agreement,Es bueno si la comida tiene el pollo o los papas fritas o buenos vegetales y arroz .,"evidence words = ""los"", ""papas fritas""
indexes = 9, 10"
710,1189,9237a24325fbfbf3be36e6637de816db628f72fe82df1b8bc73e074ef5e1a7d0,SPA 2,"Siempre quise probar una autostop de una manera segura, así que intentaría eso.","Siempre quise probar [una]{un}<ga:mf:det:inan> autostop de una manera segura, así que intentaría eso.",1,[una]{un}<ga:mf:det:inan>,0,ga:mf:det:inan,un,una,"['Siempre', 'quise', 'probar', 'un', 'autostop', 'de', 'una', 'manera', 'segura', ',', 'así', 'que', 'intentaría', 'eso', '.']","[3, 19]",ga:mf,"['Siempre', 'quise', 'probar', 'una', 'autostop', 'de', 'una', 'manera', 'segura', ',', 'así', 'que', 'intentaría', 'eso', '.']",gender agreement,"Siempre quise probar una autostop de una manera segura , así que intentaría eso .","evidence words = ""probar"", ""una"", ""autostop""
indexes = 2, 3, 4"
711,1190,179f409dea9937f04c6a94b9e8aa2c3e08d1ebe3ef39e4d2780e432670db75d9,SPA 1,Cuando yo soy terminado con mis clases de verano yo quiero viajar por México.,Cuando yo soy [terminado]{terminada}<ga:fm:adj:an> con mis clases de verano yo quiero viajar por México.,1,[terminado]{terminada}<ga:fm:adj:an>,0,ga:fm:adj:an,terminada,terminado,"['Cuando', 'yo', 'soy', 'terminada', 'con', 'mis', 'clases', 'de', 'verano', 'yo', 'quiero', 'viajar', 'por', 'México', '.']","[3, 19]",ga:fm,"['Cuando', 'yo', 'soy', 'terminado', 'con', 'mis', 'clases', 'de', 'verano', 'yo', 'quiero', 'viajar', 'por', 'México', '.']",gender agreement,Cuando yo soy terminado con mis clases de verano yo quiero viajar por México .,"evidence words = ""yo"", ""soy"", ""terminado""
indexes = 1, 2, 3"
711,1190,c63b1a1c7191239b4942145a301d72ca6146e8217c3ae4c3b9ab99749e59a904,SPA 1,Mis vacaciones perfectas incluye mucho actividades.,Mis vacaciones perfectas incluye [mucho]{muchas}<ga:na:fm:ps:det:inan> actividades.,1,[mucho]{muchas}<ga:na:fm:ps:det:inan>,0,ga:na:fm:ps:det:inan,muchas,mucho,"['Mis', 'vacaciones', 'perfectas', 'incluye', 'muchas', 'actividades', '.']","[4, 12]",ga:na:fm:ps,"['Mis', 'vacaciones', 'perfectas', 'incluye', 'mucho', 'actividades', '.']",gender and number agreement,Mis vacaciones perfectas incluye mucho actividades .,"evidence words = ""mucho"", ""actividades""
indexes = 4, 5"
711,1190,75588457f17c4742fd515eb4304250acaf2c40c78d579703b0da354f22c848ff,SPA 1,"El primer día, nosotros vamos ir al playa enseguida nosotros llegamos.","El primer día, nosotros vamos ir [al]{a la}<ga:fm:det:inan> playa enseguida nosotros llegamos.",1,[al]{a la}<ga:fm:det:inan>,0,ga:fm:det:inan,a la,al,"['El', 'primer', 'día', ',', 'nosotros', 'vamos', 'ir', 'a la', 'playa', 'enseguida', 'nosotros', 'llegamos', '.']","[7, 21]",ga:fm,"['El', 'primer', 'día', ',', 'nosotros', 'vamos', 'ir', 'al', 'playa', 'enseguida', 'nosotros', 'llegamos', '.']",gender agreement,"El primer día , nosotros vamos ir al playa enseguida nosotros llegamos .","evidence words = ""ir"", ""al"", ""playa""
indexes = 6, 7, 8"
